Test Case: A100SXM_aten_fill_
|   M   |   N   |  B  | _val |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  32   |  64   | N/A |  1   |     [[32, 64]]     | bf16  |       2.51       |       2.54        |       2.56       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.08%     |
|  64   |  64   | N/A |  1   |     [[64, 64]]     | bf16  |       2.51       |       2.54        |       2.56       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.16%     |
|  128  |  64   | N/A |  1   |    [[128, 64]]     | bf16  |       2.56       |       2.58        |       2.61       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.31%     |
|  256  |  64   | N/A |  1   |    [[256, 64]]     | bf16  |       2.56       |       2.59        |       2.61       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     0.63%     |
|  512  |  64   | N/A |  1   |    [[512, 64]]     | bf16  |       2.61       |       2.67        |       2.71       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     1.23%     |
| 1024  |  64   | N/A |  1   |    [[1024, 64]]    | bf16  |       2.76       |       2.79        |       2.82       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     2.33%     |
| 2048  |  64   | N/A |  1   |    [[2048, 64]]    | bf16  |       2.82       |       2.85        |       2.87       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     4.56%     |
| 4096  |  64   | N/A |  1   |    [[4096, 64]]    | bf16  |       3.07       |       3.13        |       3.17       |        2.32        | 0.00e+00 | 2.62e+05 |        0%        |     8.38%     |
| 8192  |  64   | N/A |  1   |    [[8192, 64]]    | bf16  |       3.58       |       3.61        |       3.64       |        2.64        | 0.00e+00 | 5.24e+05 |        0%        |    14.36%     |
| 16384 |  64   | N/A |  1   |   [[16384, 64]]    | bf16  |       4.56       |       4.58        |       4.61       |        3.29        | 0.00e+00 | 1.05e+06 |        0%        |    22.56%     |
| 32768 |  64   | N/A |  1   |   [[32768, 64]]    | bf16  |       6.55       |       6.57        |       6.6        |        4.57        | 0.00e+00 | 2.10e+06 |        0%        |    31.41%     |
|   1   |  128  | N/A |  1   |     [[1, 128]]     | bf16  |       2.51       |       2.54        |       2.56       |        2.0         | 0.00e+00 | 1.28e+02 |        0%        |     0.01%     |
|   2   |  128  | N/A |  1   |     [[2, 128]]     | bf16  |       2.51       |       2.56        |       2.61       |        2.0         | 0.00e+00 | 2.56e+02 |        0%        |     0.01%     |
|   4   |  128  | N/A |  1   |     [[4, 128]]     | bf16  |       2.41       |       2.44        |       2.46       |        2.0         | 0.00e+00 | 5.12e+02 |        0%        |     0.02%     |
|   8   |  128  | N/A |  1   |     [[8, 128]]     | bf16  |       2.51       |       2.53        |       2.56       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.04%     |
|  16   |  128  | N/A |  1   |    [[16, 128]]     | bf16  |       2.51       |       2.56        |       2.61       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.08%     |
|  32   |  128  | N/A |  1   |    [[32, 128]]     | bf16  |       2.51       |       2.56        |       2.61       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.16%     |
|  64   |  128  | N/A |  1   |    [[64, 128]]     | bf16  |       2.56       |       2.58        |       2.61       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.31%     |
|  128  |  128  | N/A |  1   |    [[128, 128]]    | bf16  |       2.56       |       2.59        |       2.61       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     0.63%     |
|  256  |  128  | N/A |  1   |    [[256, 128]]    | bf16  |       2.66       |       2.69        |       2.71       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     1.21%     |
|  512  |  128  | N/A |  1   |    [[512, 128]]    | bf16  |       2.76       |       2.79        |       2.82       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     2.33%     |
| 1024  |  128  | N/A |  1   |   [[1024, 128]]    | bf16  |       2.87       |       2.87        |       2.87       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     4.48%     |
| 2048  |  128  | N/A |  1   |   [[2048, 128]]    | bf16  |       3.07       |        3.1        |       3.12       |        2.32        | 0.00e+00 | 2.62e+05 |        0%        |     8.38%     |
| 4096  |  128  | N/A |  1   |   [[4096, 128]]    | bf16  |       3.58       |       3.61        |       3.64       |        2.64        | 0.00e+00 | 5.24e+05 |        0%        |    14.36%     |
| 8192  |  128  | N/A |  1   |   [[8192, 128]]    | bf16  |       4.61       |       4.61        |       4.61       |        3.29        | 0.00e+00 | 1.05e+06 |        0%        |    22.31%     |
| 16384 |  128  | N/A |  1   |   [[16384, 128]]   | bf16  |       6.55       |       6.58        |       6.6        |        4.57        | 0.00e+00 | 2.10e+06 |        0%        |    31.41%     |
| 32768 |  128  | N/A |  1   |   [[32768, 128]]   | bf16  |      10.39       |       10.41       |      10.44       |        7.14        | 0.00e+00 | 4.19e+06 |        0%        |     39.6%     |
|   1   |  512  | N/A |  1   |     [[1, 512]]     | bf16  |       2.41       |       2.44        |       2.46       |        2.0         | 0.00e+00 | 5.12e+02 |        0%        |     0.02%     |
|   2   |  512  | N/A |  1   |     [[2, 512]]     | bf16  |       2.51       |       2.53        |       2.56       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.04%     |
|   4   |  512  | N/A |  1   |     [[4, 512]]     | bf16  |       2.51       |       2.53        |       2.56       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.08%     |
|   8   |  512  | N/A |  1   |     [[8, 512]]     | bf16  |       2.51       |       2.54        |       2.56       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.16%     |
|  16   |  512  | N/A |  1   |    [[16, 512]]     | bf16  |       2.51       |       2.56        |       2.61       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.32%     |
|  32   |  512  | N/A |  1   |    [[32, 512]]     | bf16  |       2.56       |       2.59        |       2.61       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     0.63%     |
|  64   |  512  | N/A |  1   |    [[64, 512]]     | bf16  |       2.66       |       2.69        |       2.71       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     1.21%     |
|  128  |  512  | N/A |  1   |    [[128, 512]]    | bf16  |       2.82       |       2.82        |       2.82       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     2.28%     |
|  256  |  512  | N/A |  1   |    [[256, 512]]    | bf16  |       2.82       |       2.85        |       2.87       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     4.56%     |
|  512  |  512  | N/A |  1   |    [[512, 512]]    | bf16  |       3.07       |        3.1        |       3.12       |        2.32        | 0.00e+00 | 2.62e+05 |        0%        |     8.38%     |
| 1024  |  512  | N/A |  1   |   [[1024, 512]]    | bf16  |       3.53       |       3.59        |       3.64       |        2.64        | 0.00e+00 | 5.24e+05 |        0%        |    14.57%     |
| 2048  |  512  | N/A |  1   |   [[2048, 512]]    | bf16  |       4.56       |       4.59        |       4.61       |        3.29        | 0.00e+00 | 1.05e+06 |        0%        |    22.56%     |
| 4096  |  512  | N/A |  1   |   [[4096, 512]]    | bf16  |       6.5        |       6.53        |       6.55       |        4.57        | 0.00e+00 | 2.10e+06 |        0%        |    31.65%     |
| 8192  |  512  | N/A |  1   |   [[8192, 512]]    | bf16  |      10.39       |       10.41       |      10.44       |        7.14        | 0.00e+00 | 4.19e+06 |        0%        |     39.6%     |
| 16384 |  512  | N/A |  1   |   [[16384, 512]]   | bf16  |      18.02       |       18.05       |      18.07       |       12.29        | 0.00e+00 | 8.39e+06 |        0%        |    45.66%     |
| 32768 |  512  | N/A |  1   |   [[32768, 512]]   | bf16  |      33.43       |       33.48       |      33.54       |       22.57        | 0.00e+00 | 1.68e+07 |        0%        |    49.23%     |
|   1   |  768  | N/A |  1   |     [[1, 768]]     | bf16  |       2.61       |       2.64        |       2.66       |        2.0         | 0.00e+00 | 7.68e+02 |        0%        |     0.03%     |
|   2   |  768  | N/A |  1   |     [[2, 768]]     | bf16  |       2.51       |       2.54        |       2.56       |        2.0         | 0.00e+00 | 1.54e+03 |        0%        |     0.06%     |
|   4   |  768  | N/A |  1   |     [[4, 768]]     | bf16  |       2.46       |        2.5        |       2.56       |        2.0         | 0.00e+00 | 3.07e+03 |        0%        |     0.12%     |
|   8   |  768  | N/A |  1   |     [[8, 768]]     | bf16  |       2.51       |       2.53        |       2.56       |        2.01        | 0.00e+00 | 6.14e+03 |        0%        |     0.24%     |
|  16   |  768  | N/A |  1   |    [[16, 768]]     | bf16  |       2.56       |       2.58        |       2.61       |        2.02        | 0.00e+00 | 1.23e+04 |        0%        |     0.47%     |
|  32   |  768  | N/A |  1   |    [[32, 768]]     | bf16  |       2.56       |       2.61        |       2.66       |        2.03        | 0.00e+00 | 2.46e+04 |        0%        |     0.94%     |
|  64   |  768  | N/A |  1   |    [[64, 768]]     | bf16  |       2.76       |       2.79        |       2.82       |        2.06        | 0.00e+00 | 4.92e+04 |        0%        |     1.75%     |
|  128  |  768  | N/A |  1   |    [[128, 768]]    | bf16  |       2.76       |        2.8        |       2.82       |        2.12        | 0.00e+00 | 9.83e+04 |        0%        |     3.49%     |
|  256  |  768  | N/A |  1   |    [[256, 768]]    | bf16  |       2.97       |       2.99        |       3.02       |        2.24        | 0.00e+00 | 1.97e+05 |        0%        |     6.49%     |
|  512  |  768  | N/A |  1   |    [[512, 768]]    | bf16  |       3.33       |       3.35        |       3.38       |        2.48        | 0.00e+00 | 3.93e+05 |        0%        |    11.58%     |
| 1024  |  768  | N/A |  1   |   [[1024, 768]]    | bf16  |       4.1        |       4.12        |       4.15       |        2.96        | 0.00e+00 | 7.86e+05 |        0%        |    18.81%     |
| 2048  |  768  | N/A |  1   |   [[2048, 768]]    | bf16  |       5.53       |       5.58        |       5.63       |        3.93        | 0.00e+00 | 1.57e+06 |        0%        |     27.9%     |
| 4096  |  768  | N/A |  1   |   [[4096, 768]]    | bf16  |       8.45       |       8.48        |       8.5        |        5.86        | 0.00e+00 | 3.15e+06 |        0%        |    36.52%     |
| 8192  |  768  | N/A |  1   |   [[8192, 768]]    | bf16  |      14.23       |       14.26       |      14.28       |        9.71        | 0.00e+00 | 6.29e+06 |        0%        |    43.37%     |
| 16384 |  768  | N/A |  1   |   [[16384, 768]]   | bf16  |      25.75       |       25.78       |       25.8       |       17.43        | 0.00e+00 | 1.26e+07 |        0%        |    47.93%     |
| 32768 |  768  | N/A |  1   |   [[32768, 768]]   | bf16  |      48.84       |       48.89       |      48.95       |       32.86        | 0.00e+00 | 2.52e+07 |        0%        |    50.54%     |
|   1   | 2048  | N/A |  1   |    [[1, 2048]]     | bf16  |       2.51       |       2.54        |       2.56       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.08%     |
|   2   | 2048  | N/A |  1   |    [[2, 2048]]     | bf16  |       2.46       |       2.52        |       2.56       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.16%     |
|   4   | 2048  | N/A |  1   |    [[4, 2048]]     | bf16  |       2.56       |       2.58        |       2.61       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.31%     |
|   8   | 2048  | N/A |  1   |    [[8, 2048]]     | bf16  |       2.56       |       2.59        |       2.61       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     0.63%     |
|  16   | 2048  | N/A |  1   |    [[16, 2048]]    | bf16  |       2.66       |       2.68        |       2.71       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     1.21%     |
|  32   | 2048  | N/A |  1   |    [[32, 2048]]    | bf16  |       2.76       |       2.82        |       2.87       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     2.33%     |
|  64   | 2048  | N/A |  1   |    [[64, 2048]]    | bf16  |       2.82       |       2.87        |       2.92       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     4.56%     |
|  128  | 2048  | N/A |  1   |   [[128, 2048]]    | bf16  |       3.07       |       3.12        |       3.17       |        2.32        | 0.00e+00 | 2.62e+05 |        0%        |     8.38%     |
|  256  | 2048  | N/A |  1   |   [[256, 2048]]    | bf16  |       3.58       |       3.61        |       3.64       |        2.64        | 0.00e+00 | 5.24e+05 |        0%        |    14.36%     |
|  512  | 2048  | N/A |  1   |   [[512, 2048]]    | bf16  |       4.56       |       4.59        |       4.61       |        3.29        | 0.00e+00 | 1.05e+06 |        0%        |    22.56%     |
| 1024  | 2048  | N/A |  1   |   [[1024, 2048]]   | bf16  |       6.5        |       6.55        |       6.6        |        4.57        | 0.00e+00 | 2.10e+06 |        0%        |    31.65%     |
| 2048  | 2048  | N/A |  1   |   [[2048, 2048]]   | bf16  |      10.39       |       10.42       |      10.44       |        7.14        | 0.00e+00 | 4.19e+06 |        0%        |     39.6%     |
| 4096  | 2048  | N/A |  1   |   [[4096, 2048]]   | bf16  |      18.02       |       18.05       |      18.07       |       12.29        | 0.00e+00 | 8.39e+06 |        0%        |    45.66%     |
| 8192  | 2048  | N/A |  1   |   [[8192, 2048]]   | bf16  |      33.43       |       33.46       |      33.48       |       22.57        | 0.00e+00 | 1.68e+07 |        0%        |    49.23%     |
| 16384 | 2048  | N/A |  1   |  [[16384, 2048]]   | bf16  |       64.2       |       64.25       |      64.31       |       43.14        | 0.00e+00 | 3.36e+07 |        0%        |    51.27%     |
| 32768 | 2048  | N/A |  1   |  [[32768, 2048]]   | bf16  |      125.75      |       125.8       |      125.85      |       84.28        | 0.00e+00 | 6.71e+07 |        0%        |    52.35%     |
|   1   | 3072  | N/A |  1   |    [[1, 3072]]     | bf16  |       2.56       |       2.56        |       2.56       |        2.0         | 0.00e+00 | 3.07e+03 |        0%        |     0.12%     |
|   2   | 3072  | N/A |  1   |    [[2, 3072]]     | bf16  |       2.51       |       2.56        |       2.61       |        2.01        | 0.00e+00 | 6.14e+03 |        0%        |     0.24%     |
|   4   | 3072  | N/A |  1   |    [[4, 3072]]     | bf16  |       2.56       |       2.59        |       2.61       |        2.02        | 0.00e+00 | 1.23e+04 |        0%        |     0.47%     |
|   8   | 3072  | N/A |  1   |    [[8, 3072]]     | bf16  |       2.56       |       2.59        |       2.61       |        2.03        | 0.00e+00 | 2.46e+04 |        0%        |     0.94%     |
|  16   | 3072  | N/A |  1   |    [[16, 3072]]    | bf16  |       2.71       |       2.74        |       2.76       |        2.06        | 0.00e+00 | 4.92e+04 |        0%        |     1.78%     |
|  32   | 3072  | N/A |  1   |    [[32, 3072]]    | bf16  |       2.76       |        2.8        |       2.82       |        2.12        | 0.00e+00 | 9.83e+04 |        0%        |     3.49%     |
|  64   | 3072  | N/A |  1   |    [[64, 3072]]    | bf16  |       2.97       |       2.99        |       3.02       |        2.24        | 0.00e+00 | 1.97e+05 |        0%        |     6.49%     |
|  128  | 3072  | N/A |  1   |   [[128, 3072]]    | bf16  |       3.33       |       3.35        |       3.38       |        2.48        | 0.00e+00 | 3.93e+05 |        0%        |    11.58%     |
|  256  | 3072  | N/A |  1   |   [[256, 3072]]    | bf16  |       4.04       |       4.09        |       4.15       |        2.96        | 0.00e+00 | 7.86e+05 |        0%        |    19.09%     |
|  512  | 3072  | N/A |  1   |   [[512, 3072]]    | bf16  |       5.58       |        5.6        |       5.63       |        3.93        | 0.00e+00 | 1.57e+06 |        0%        |    27.65%     |
| 1024  | 3072  | N/A |  1   |   [[1024, 3072]]   | bf16  |       8.45       |        8.5        |       8.55       |        5.86        | 0.00e+00 | 3.15e+06 |        0%        |    36.52%     |
| 2048  | 3072  | N/A |  1   |   [[2048, 3072]]   | bf16  |      14.23       |       14.25       |      14.28       |        9.71        | 0.00e+00 | 6.29e+06 |        0%        |    43.37%     |
| 4096  | 3072  | N/A |  1   |   [[4096, 3072]]   | bf16  |      25.75       |       25.77       |       25.8       |       17.43        | 0.00e+00 | 1.26e+07 |        0%        |    47.93%     |
| 8192  | 3072  | N/A |  1   |   [[8192, 3072]]   | bf16  |      48.84       |       48.87       |       48.9       |       32.86        | 0.00e+00 | 2.52e+07 |        0%        |    50.54%     |
| 16384 | 3072  | N/A |  1   |  [[16384, 3072]]   | bf16  |      94.88       |       94.97       |      95.03       |       63.71        | 0.00e+00 | 5.03e+07 |        0%        |    52.03%     |
| 32768 | 3072  | N/A |  1   |  [[32768, 3072]]   | bf16  |      187.29      |      187.34       |      187.39      |       125.42       | 0.00e+00 | 1.01e+08 |        0%        |    52.72%     |
|   1   | 4096  | N/A |  1   |    [[1, 4096]]     | bf16  |       2.51       |       2.54        |       2.56       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.16%     |
|   2   | 4096  | N/A |  1   |    [[2, 4096]]     | bf16  |       2.56       |       2.58        |       2.61       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.31%     |
|   4   | 4096  | N/A |  1   |    [[4, 4096]]     | bf16  |       2.56       |       2.59        |       2.61       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     0.63%     |
|   8   | 4096  | N/A |  1   |    [[8, 4096]]     | bf16  |       2.66       |       2.71        |       2.76       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     1.21%     |
|  16   | 4096  | N/A |  1   |    [[16, 4096]]    | bf16  |       2.76       |       2.79        |       2.82       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     2.33%     |
|  32   | 4096  | N/A |  1   |    [[32, 4096]]    | bf16  |       2.87       |       2.89        |       2.92       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     4.48%     |
|  64   | 4096  | N/A |  1   |    [[64, 4096]]    | bf16  |       3.02       |        3.1        |       3.17       |        2.32        | 0.00e+00 | 2.62e+05 |        0%        |     8.51%     |
|  128  | 4096  | N/A |  1   |   [[128, 4096]]    | bf16  |       3.58       |        3.6        |       3.64       |        2.64        | 0.00e+00 | 5.24e+05 |        0%        |    14.36%     |
|  256  | 4096  | N/A |  1   |   [[256, 4096]]    | bf16  |       4.56       |       4.58        |       4.61       |        3.29        | 0.00e+00 | 1.05e+06 |        0%        |    22.56%     |
|  512  | 4096  | N/A |  1   |   [[512, 4096]]    | bf16  |       6.55       |       6.57        |       6.6        |        4.57        | 0.00e+00 | 2.10e+06 |        0%        |    31.41%     |
| 1024  | 4096  | N/A |  1   |   [[1024, 4096]]   | bf16  |      10.39       |       10.41       |      10.44       |        7.14        | 0.00e+00 | 4.19e+06 |        0%        |     39.6%     |
| 2048  | 4096  | N/A |  1   |   [[2048, 4096]]   | bf16  |      18.02       |       18.05       |      18.07       |       12.29        | 0.00e+00 | 8.39e+06 |        0%        |    45.66%     |
| 4096  | 4096  | N/A |  1   |   [[4096, 4096]]   | bf16  |      33.43       |       33.48       |      33.54       |       22.57        | 0.00e+00 | 1.68e+07 |        0%        |    49.23%     |
| 8192  | 4096  | N/A |  1   |   [[8192, 4096]]   | bf16  |      64.26       |       64.26       |      64.26       |       43.14        | 0.00e+00 | 3.36e+07 |        0%        |    51.22%     |
| 16384 | 4096  | N/A |  1   |  [[16384, 4096]]   | bf16  |      125.75      |      125.77       |      125.8       |       84.28        | 0.00e+00 | 6.71e+07 |        0%        |    52.35%     |
| 32768 | 4096  | N/A |  1   |  [[32768, 4096]]   | bf16  |      248.85      |      248.89       |      248.93      |       166.56       | 0.00e+00 | 1.34e+08 |        0%        |     52.9%     |
|   1   | 5120  | N/A |  1   |    [[1, 5120]]     | bf16  |       2.51       |       2.53        |       2.56       |        2.01        | 0.00e+00 | 5.12e+03 |        0%        |     0.2%      |
|   2   | 5120  | N/A |  1   |    [[2, 5120]]     | bf16  |       2.56       |       2.58        |       2.61       |        2.01        | 0.00e+00 | 1.02e+04 |        0%        |     0.39%     |
|   4   | 5120  | N/A |  1   |    [[4, 5120]]     | bf16  |       2.56       |       2.58        |       2.61       |        2.03        | 0.00e+00 | 2.05e+04 |        0%        |     0.78%     |
|   8   | 5120  | N/A |  1   |    [[8, 5120]]     | bf16  |       2.71       |       2.76        |       2.82       |        2.05        | 0.00e+00 | 4.10e+04 |        0%        |     1.48%     |
|  16   | 5120  | N/A |  1   |    [[16, 5120]]    | bf16  |       2.82       |       2.84        |       2.87       |        2.1         | 0.00e+00 | 8.19e+04 |        0%        |     2.85%     |
|  32   | 5120  | N/A |  1   |    [[32, 5120]]    | bf16  |       2.87       |        2.9        |       2.92       |        2.2         | 0.00e+00 | 1.64e+05 |        0%        |     5.6%      |
|  64   | 5120  | N/A |  1   |    [[64, 5120]]    | bf16  |       3.23       |       3.25        |       3.28       |        2.4         | 0.00e+00 | 3.28e+05 |        0%        |     9.95%     |
|  128  | 5120  | N/A |  1   |   [[128, 5120]]    | bf16  |       3.84       |       3.86        |       3.89       |        2.8         | 0.00e+00 | 6.55e+05 |        0%        |    16.74%     |
|  256  | 5120  | N/A |  1   |   [[256, 5120]]    | bf16  |       5.02       |       5.07        |       5.12       |        3.61        | 0.00e+00 | 1.31e+06 |        0%        |    25.61%     |
|  512  | 5120  | N/A |  1   |   [[512, 5120]]    | bf16  |       7.53       |       7.57        |       7.63       |        5.21        | 0.00e+00 | 2.62e+06 |        0%        |    34.15%     |
| 1024  | 5120  | N/A |  1   |   [[1024, 5120]]   | bf16  |      12.34       |       12.34       |      12.34       |        8.43        | 0.00e+00 | 5.24e+06 |        0%        |    41.67%     |
| 2048  | 5120  | N/A |  1   |   [[2048, 5120]]   | bf16  |      21.86       |       21.89       |      21.91       |       14.86        | 0.00e+00 | 1.05e+07 |        0%        |    47.05%     |
| 4096  | 5120  | N/A |  1   |   [[4096, 5120]]   | bf16  |      41.11       |       41.14       |      41.16       |       27.71        | 0.00e+00 | 2.10e+07 |        0%        |    50.04%     |
| 8192  | 5120  | N/A |  1   |   [[8192, 5120]]   | bf16  |      79.62       |       79.64       |      79.67       |       53.43        | 0.00e+00 | 4.19e+07 |        0%        |    51.67%     |
| 16384 | 5120  | N/A |  1   |  [[16384, 5120]]   | bf16  |      156.57      |      156.59       |      156.62      |       104.85       | 0.00e+00 | 8.39e+07 |        0%        |    52.55%     |
| 32768 | 5120  | N/A |  1   |  [[32768, 5120]]   | bf16  |      310.4       |      310.44       |      310.48      |       207.7        | 0.00e+00 | 1.68e+08 |        0%        |    53.02%     |
|   1   | 6144  | N/A |  1   |    [[1, 6144]]     | bf16  |       2.51       |       2.53        |       2.56       |        2.01        | 0.00e+00 | 6.14e+03 |        0%        |     0.24%     |
|   2   | 6144  | N/A |  1   |    [[2, 6144]]     | bf16  |       2.56       |       2.58        |       2.61       |        2.02        | 0.00e+00 | 1.23e+04 |        0%        |     0.47%     |
|   4   | 6144  | N/A |  1   |    [[4, 6144]]     | bf16  |       2.51       |       2.59        |       2.66       |        2.03        | 0.00e+00 | 2.46e+04 |        0%        |     0.96%     |
|   8   | 6144  | N/A |  1   |    [[8, 6144]]     | bf16  |       2.71       |       2.76        |       2.82       |        2.06        | 0.00e+00 | 4.92e+04 |        0%        |     1.78%     |
|  16   | 6144  | N/A |  1   |    [[16, 6144]]    | bf16  |       2.76       |       2.79        |       2.82       |        2.12        | 0.00e+00 | 9.83e+04 |        0%        |     3.49%     |
|  32   | 6144  | N/A |  1   |    [[32, 6144]]    | bf16  |       2.92       |       2.97        |       3.02       |        2.24        | 0.00e+00 | 1.97e+05 |        0%        |     6.6%      |
|  64   | 6144  | N/A |  1   |    [[64, 6144]]    | bf16  |       3.33       |       3.35        |       3.38       |        2.48        | 0.00e+00 | 3.93e+05 |        0%        |    11.58%     |
|  128  | 6144  | N/A |  1   |   [[128, 6144]]    | bf16  |       4.04       |       4.07        |       4.1        |        2.96        | 0.00e+00 | 7.86e+05 |        0%        |    19.09%     |
|  256  | 6144  | N/A |  1   |   [[256, 6144]]    | bf16  |       5.53       |       5.56        |       5.58       |        3.93        | 0.00e+00 | 1.57e+06 |        0%        |     27.9%     |
