Test Case: H20SXM_vllm.ops.NATIVE_C-rms_norm_per_token_group_quant_fp8
| output |    _tensor    |  strides  |  _tensor_1  | precision_1 | strides_1 | ulp_dtype |   _tensor_2   | precision_2 | strides_2 | distributions | _tensor_3 | precision_3 | strides_3 | distributions_1 |  dtype   | status | b_device | b_dtype | rtol  | atol  |     cosine_sim     |      max_abs_err       | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |           eb           |          rmse          | small_value_err_ratio  |     max_rel_error     |    mean_rel_error     | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
| [0, 1] | [30000, 7168] | [7168, 1] | [30000, 56] |    Float    |  [56, 1]  |   bf16    | [30000, 7168] |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998675972027383 |          32.0          |                   | 0.9624324916294643 |   0.9624324916294643   |            |    1.533203125e-05     |   1.7537482223640457   | 0.0001313197636244255  |      0.99993896       |     0.0033125945      |      1.0      |   0.03726362   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 7168] | [7168, 1] | [30000, 56] |    Float    |  [56, 1]  |   bf16    | [30000, 7168] |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999971787674442 | 1.2895907275378704e-06 |                   |                    |                        |            |  0.007945833333333333  | 1.9418147666342568e-07 |           0            | 0.006756551950093945  | 0.0019384292697138795 |   1.0000153   |   0.34206054   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 7168] | [7168, 1] | [30000, 56] |    Float    |  [56, 1]  |   bf16    | [30000, 7168] |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998672919664435 |          32.0          |                   | 0.9624121326264881 |   0.9624121326264881   |            | 4.813058035714286e-06  |   1.766271157284712    | 0.0002653927813163482  |      0.99993896       |     0.0033139063      |      1.0      |  0.037283305   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 7168] | [7168, 1] | [30000, 56] |    Float    |  [56, 1]  |   bf16    | [30000, 7168] |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.999997174835626  | 1.335429260507226e-06  |                   |                    |                        |            |  0.006556547619047619  | 1.9350292408206865e-07 |           0            | 0.006756756756735497  | 0.0019410014192401631 |      1.0      |   0.34153673   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 1536] | [1536, 1] | [30000, 12] |    Float    |  [12, 1]  |   bf16    | [30000, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.999867678783004  |          32.0          |                   | 0.9624416449652777 |   0.9624416449652777   |            | 2.3328993055555557e-05 |   1.755491506389709    |          0.0           |      0.99993896       |     0.0033117582      |      1.0      |  0.037255142   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 1536] | [1536, 1] | [30000, 12] |    Float    |  [12, 1]  |   bf16    | [30000, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999971777073495 | 9.524228516966105e-07  |                   |                    |                        |            |  0.008205555555555556  | 1.907017727213036e-07  |           0            | 0.006754094263669064  | 0.001937009602942929  |   1.0000153   |   0.34133658   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 1536] | [1536, 1] | [30000, 12] |    Float    |  [12, 1]  |   bf16    | [30000, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 |  0.99986749067356  |          32.0          |                   | 0.9624103949652778 |   0.9624103949652778   |            | 6.098090277777778e-06  |   1.7519254831823041   |          0.0           |      0.99993896       |     0.0033159466      |      1.0      |   0.03728252   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 1536] | [1536, 1] | [30000, 12] |    Float    |  [12, 1]  |   bf16    | [30000, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999971802959691 | 9.536015568301082e-07  |                   |                    |                        |            |  0.009141666666666666  | 1.9447459026691043e-07 |           0            | 0.0067564453671901505 | 0.0019397680212111927 |   0.9999695   |   0.34119666   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 1536] | [1536, 1] | [30000, 12] |    Float    |  [12, 1]  |   bf16    | [30000, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998679995097544 |          32.0          |                   | 0.9624151475694445 |   0.9624151475694445   |            | 3.819444444444444e-06  |   1.7438939596846423   | 0.00045829514207149406 |      0.99993896       |      0.00331313       |      1.0      |   0.03727688   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 1536] | [1536, 1] | [30000, 12] |    Float    |  [12, 1]  |   bf16    | [30000, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999971657188904 | 1.1753872968256474e-06 |                   |                    |                        |            |  0.008366666666666666  | 1.9453721644667984e-07 |           0            | 0.006755732722640594  | 0.0019442561104790169 |      1.0      |   0.34209695   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 1536] | [1536, 1] | [30000, 12] |    Float    |  [12, 1]  |   bf16    | [30000, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998674413569326 |          32.0          |                   | 0.9624686848958334 |   0.9624686848958334   |            | 4.5355902777777774e-06 |   1.7827391691081547   |          0.0           |      0.99993896       |     0.0033111908      |      1.0      |   0.03722499   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 1536] | [1536, 1] | [30000, 12] |    Float    |  [12, 1]  |   bf16    | [30000, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999971667198525 | 1.3184617273509502e-06 |                   |                    |                        |            |  0.008869444444444444  |  1.87329346529027e-07  |           0            | 0.006756244739946677  | 0.001933798479669288  |   1.0000153   |   0.3411223    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 1536] | [1536, 1] | [30000, 12] |    Float    |  [12, 1]  |   bf16    | [30000, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998672657147806 |          32.0          |                   | 0.9624436414930555 |   0.9624436414930555   |            |     4.47265625e-05     |   1.7873829112553465   | 0.0005567928730512249  |      0.99993896       |     0.0033111717      |      1.0      |  0.037249718   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 1536] | [1536, 1] | [30000, 12] |    Float    |  [12, 1]  |   bf16    | [30000, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999971675417083 | 9.533250704407692e-07  |                   |                    |                        |            |  0.010816666666666667  | 1.8785569367698003e-07 |           0            | 0.006754299071345422  | 0.0019378999716231343 |   0.9999695   |   0.34152785   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 1536] | [1536, 1] | [30000, 12] |    Float    |  [12, 1]  |   bf16    | [30000, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.999868181611651  |          32.0          |                   | 0.9624195963541666 |   0.9624195963541666   |            | 2.170138888888889e-08  |   1.7255091480480427   |          0.0           |      0.99993896       |     0.0033126136      |      1.0      |  0.037274394   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 1536] | [1536, 1] | [30000, 12] |    Float    |  [12, 1]  |   bf16    | [30000, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999971877733959 | 1.3375829439610243e-06 |                   |                    |                        |            |  0.007227777777777777  | 1.9515954002340903e-07 |           0            | 0.006756654353419964  | 0.0019378885918453616 |      1.0      |   0.34168097   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 1536] | [1536, 1] | [30000, 12] |    Float    |  [12, 1]  |   bf16    | [30000, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998668016514198 |          32.0          |                   |   0.962367578125   |     0.962367578125     |            | 5.4774305555555556e-05 |   1.7764054274251482   |          0.0           |      0.99993896       |     0.0033166371      |      1.0      |   0.03732818   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 1536] | [1536, 1] | [30000, 12] |    Float    |  [12, 1]  |   bf16    | [30000, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999971704934484 | 1.351058017462492e-06  |                   |                    |                        |            |  0.007469444444444444  | 1.9428215610235155e-07 |           0            | 0.0067564453671901505 | 0.0019433874523558975 |  0.99998474   |   0.34166184   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 1536] | [1536, 1] | [30000, 12] |    Float    |  [12, 1]  |   bf16    | [30000, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998679367587227 |          32.0          |                   |  0.9624970703125   |    0.9624970703125     |            | 6.922743055555555e-06  |   1.7523521474584212   |          0.0           |      0.99993896       |     0.0033064901      |      1.0      |   0.03720126   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 1536] | [1536, 1] | [30000, 12] |    Float    |  [12, 1]  |   bf16    | [30000, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 |  0.99999718419077  |  9.52524715103209e-07  |                   |                    |                        |            |  0.006080555555555555  | 1.9269996091752296e-07 |           0            | 0.006756551950083315  | 0.0019354429007910116 |      1.0      |    0.341313    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 1536] | [1536, 1] | [30000, 12] |    Float    |  [12, 1]  |   bf16    | [30000, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998672596473408 |          32.0          |                   | 0.9623707465277778 |   0.9623707465277778   |            | 2.8819444444444443e-05 |   1.7738633262281698   |          0.0           |      0.99993896       |     0.0033174162      |      1.0      |  0.037320975   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 1536] | [1536, 1] | [30000, 12] |    Float    |  [12, 1]  |   bf16    | [30000, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999971729301552 | 1.1195952538400888e-06 |                   |                    |                        |            |  0.008177777777777779  | 1.896517532127249e-07  |           0            | 0.006756654353419964  |  0.00194426484599868  |  0.99998474   |   0.3417071    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [30000, 1536] | [1536, 1] | [30000, 12] |    Float    |  [12, 1]  |   bf16    | [30000, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998682379621758 |          32.0          |                   | 0.9624276909722222 |   0.9624276909722222   |            | 9.114583333333334e-06  |   1.7304991420906686   | 0.0002797202797202797  |      0.99993896       |     0.0033129998      |      1.0      |  0.037268836   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [30000, 1536] | [1536, 1] | [30000, 12] |    Float    |  [12, 1]  |   bf16    | [30000, 1536] |  bfloat16   | [1536, 1] | _input_normal |  [1536]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999972065075785 | 1.2901145964860916e-06 |                   |                    |                        |            |        0.00755         | 1.9710404071197095e-07 |           0            | 0.0067562377742669336 | 0.001934194853581607  |  0.99998474   |   0.34154248   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [1438, 7168]  | [7168, 1] | [1438, 56]  |    Float    |  [56, 1]  |   bf16    | [1438, 7168]  |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998674599898876 |          32.0          |                   | 0.9624069034994039 |   0.9624069034994039   |            | 0.00010031448688654878 |   1.7500291316144723   |  0.001148105625717566  |      0.99993896       |     0.0033155032      |      1.0      |  0.037284683   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [1438, 7168]  | [7168, 1] | [1438, 56]  |    Float    |  [56, 1]  |   bf16    | [1438, 7168]  |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999971853427215 | 1.6227131709456444e-06 |                   |                    |                        |            |  0.012033081661037155  | 1.9445386023728926e-07 |           0            | 0.0067551998109350135 | 0.0019407232293300785 |  0.99993896   |   0.34236288   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [1438, 7168]  | [7168, 1] | [1438, 56]  |    Float    |  [56, 1]  |   bf16    | [1438, 7168]  |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.999867535729672  |          32.0          |                   | 0.9624035079413372 |   0.9624035079413372   |            | 5.6754327687264055e-05 |   1.7616943159243594   |          0.0           |      0.99993896       |      0.003313585      |      1.0      |  0.037288614   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [1438, 7168]  | [7168, 1] | [1438, 56]  |    Float    |  [56, 1]  |   bf16    | [1438, 7168]  |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999972060612207 | 9.528594091534615e-07  |                   |                    |                        |            | 0.0034273792966421617  | 1.927336188092726e-07  |           0            | 0.006744673019740182  | 0.0019331261983796808 |      1.0      |   0.3408132    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [1438, 7168]  | [7168, 1] | [1438, 56]  |    Float    |  [56, 1]  |   bf16    | [1438, 7168]  |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998673604435083 |          32.0          |                   | 0.9623682911533876 |   0.9623682911533876   |            | 4.074669680111266e-06  |   1.772220156325883    |          0.0           |      0.99993896       |      0.003318114      |      1.0      |   0.03732572   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1] | [1438, 7168]  | [7168, 1] | [1438, 56]  |    Float    |  [56, 1]  |   bf16    | [1438, 7168]  |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999971646483756 | 9.517243597656488e-07  |                   |                    |                        |            | 0.0028064772501490164  | 1.8969716800536972e-07 |           0            | 0.006750714924990119  | 0.0019387131166226223 |  0.99998474   |   0.34113878   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1] | [1438, 7168]  | [7168, 1] | [1438, 56]  |    Float    |  [56, 1]  |   bf16    | [1438, 7168]  |  bfloat16   | [7168, 1] | _input_normal |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | error  |   cpu    |  e4m3   | 1e-06 | 1e-09 | 0.9998679956509562 |          32.0          |                   | 0.9623712016317306 |   0.9623712016317306   |            | 6.461261921319292e-05  |   1.7493566755347243   |          0.0           |      0.99993896       |     0.0033176725      |      1.0      |   0.03732184   |         0.0          |     ulp error is less than 1, consider as pass     |
