Test Case: H20SXM_vllm.ops.NATIVE_C-fused_dispatch_decode
| B |   output    |    outputs__tensor_list     | outputs_precision | recv_packed__tensor | recv_packed_precision | sp_split_size__val | sp_split_size_precision | split_sizes  | dtype | status | b_device | b_dtype | rtol  | atol  | cosine_sim |                      max_abs_err                      | rel_err_hundredth | rel_err_thousandth |
| 4 | ['outputs'] | [[4, 64], [4, 96], [4, 96]] |       fp32        |      [4, 256]       |         fp32          |     [2, 1, 1]      |          int64          | [64, 96, 96] | fp16  |  pass  |   cpu    |  fp64   | 1e-06 | 1e-09 |   error    | target type: <class 'list'>, out type: <class 'list'> |                   |                    |
| 4 | ['outputs'] | [[4, 64], [4, 96], [4, 96]] |       fp32        |      [4, 256]       |         fp32          |     [2, 1, 1]      |          int64          | [64, 96, 96] | fp16  |  pass  |   cpu    |  fp64   | 1e-06 | 1e-09 |   error    | target type: <class 'list'>, out type: <class 'list'> |                   |                    |
| 4 | ['outputs'] | [[4, 64], [4, 96], [4, 96]] |       fp32        |      [4, 256]       |         fp32          |     [2, 1, 1]      |          int64          | [64, 96, 96] | fp16  |  pass  |   cpu    |  fp64   | 1e-06 | 1e-09 |   error    | target type: <class 'list'>, out type: <class 'list'> |                   |                    |
| 4 | ['outputs'] | [[4, 64], [4, 96], [4, 96]] |       fp32        |      [4, 256]       |         fp32          |     [2, 1, 1]      |          int64          | [64, 96, 96] | fp16  |  pass  |   cpu    |  fp64   | 1e-06 | 1e-09 |   error    | target type: <class 'list'>, out type: <class 'list'> |                   |                    |
| 4 | ['outputs'] | [[4, 64], [4, 96], [4, 96]] |       fp32        |      [4, 256]       |         fp32          |     [2, 1, 1]      |          int64          | [64, 96, 96] | fp16  |  pass  |   cpu    |  fp64   | 1e-06 | 1e-09 |   error    | target type: <class 'list'>, out type: <class 'list'> |                   |                    |
| 4 | ['outputs'] | [[4, 64], [4, 96], [4, 96]] |       fp32        |      [4, 256]       |         fp32          |     [2, 1, 1]      |          int64          | [64, 96, 96] | fp16  |  pass  |   cpu    |  fp64   | 1e-06 | 1e-09 |   error    | target type: <class 'list'>, out type: <class 'list'> |                   |                    |
| 4 | ['outputs'] | [[4, 64], [4, 96], [4, 96]] |       fp32        |      [4, 256]       |         fp32          |     [2, 1, 1]      |          int64          | [64, 96, 96] | fp16  |  pass  |   cpu    |  fp64   | 1e-06 | 1e-09 |   error    | target type: <class 'list'>, out type: <class 'list'> |                   |                    |
| 4 | ['outputs'] | [[4, 64], [4, 96], [4, 96]] |       fp32        |      [4, 256]       |         fp32          |     [2, 1, 1]      |          int64          | [64, 96, 96] | fp16  |  pass  |   cpu    |  fp64   | 1e-06 | 1e-09 |   error    | target type: <class 'list'>, out type: <class 'list'> |                   |                    |
| 4 | ['outputs'] | [[4, 64], [4, 96], [4, 96]] |       fp32        |      [4, 256]       |         fp32          |     [2, 1, 1]      |          int64          | [64, 96, 96] | fp16  |  pass  |   cpu    |  fp64   | 1e-06 | 1e-09 |   error    | target type: <class 'list'>, out type: <class 'list'> |                   |                    |
| 4 | ['outputs'] | [[4, 64], [4, 96], [4, 96]] |       fp32        |      [4, 256]       |         fp32          |     [2, 1, 1]      |          int64          | [64, 96, 96] | fp16  |  pass  |   cpu    |  fp64   | 1e-06 | 1e-09 |   error    | target type: <class 'list'>, out type: <class 'list'> |                   |                    |
