Test Case: H100PCIE_aten_fill_
|   M   |   N   |  B  | _val |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  512  | 2048  | N/A |  1   |   [[512, 2048]]    | bf16  |       3.61       |       3.63        |       3.65       |        3.31        | 0.00e+00 | 1.05e+06 |        0%        |    29.05%     |
| 1024  | 2048  | N/A |  1   |   [[1024, 2048]]   | bf16  |       4.94       |       4.96        |       4.98       |        4.62        | 0.00e+00 | 2.10e+06 |        0%        |    42.45%     |
| 2048  | 2048  | N/A |  1   |   [[2048, 2048]]   | bf16  |      10.01       |       10.43       |       10.7       |        7.24        | 0.00e+00 | 4.19e+06 |        0%        |     41.9%     |
| 4096  | 2048  | N/A |  1   |   [[4096, 2048]]   | bf16  |      18.03       |       18.05       |      18.07       |       12.49        | 0.00e+00 | 8.39e+06 |        0%        |    46.53%     |
| 8192  | 2048  | N/A |  1   |   [[8192, 2048]]   | bf16  |      34.45       |       36.12       |      38.34       |       22.97        | 0.00e+00 | 1.68e+07 |        0%        |     48.7%     |
| 16384 | 2048  | N/A |  1   |  [[16384, 2048]]   | bf16  |      44.28       |       44.31       |      44.34       |       43.94        | 0.00e+00 | 3.36e+07 |        0%        |    75.78%     |
| 32768 | 2048  | N/A |  1   |  [[32768, 2048]]   | bf16  |      86.32       |       86.35       |      86.38       |       85.89        | 0.00e+00 | 6.71e+07 |        0%        |    77.74%     |
|   1   | 3072  | N/A |  1   |    [[1, 3072]]     | bf16  |       2.12       |       2.14        |       2.17       |        2.0         | 0.00e+00 | 3.07e+03 |        0%        |     0.14%     |
|   2   | 3072  | N/A |  1   |    [[2, 3072]]     | bf16  |       2.14       |       2.18        |       2.23       |        2.01        | 0.00e+00 | 6.14e+03 |        0%        |     0.29%     |
|   4   | 3072  | N/A |  1   |    [[4, 3072]]     | bf16  |       2.34       |       2.36        |       2.39       |        2.02        | 0.00e+00 | 1.23e+04 |        0%        |     0.53%     |
|   8   | 3072  | N/A |  1   |    [[8, 3072]]     | bf16  |       2.36       |       2.38        |       2.39       |        2.03        | 0.00e+00 | 2.46e+04 |        0%        |     1.04%     |
|  16   | 3072  | N/A |  1   |    [[16, 3072]]    | bf16  |       2.4        |       2.41        |       2.42       |        2.06        | 0.00e+00 | 4.92e+04 |        0%        |     2.05%     |
|  32   | 3072  | N/A |  1   |    [[32, 3072]]    | bf16  |       2.43       |       2.44        |       2.46       |        2.12        | 0.00e+00 | 9.83e+04 |        0%        |     4.05%     |
|  64   | 3072  | N/A |  1   |    [[64, 3072]]    | bf16  |       2.3        |       2.47        |       2.65       |        2.25        | 0.00e+00 | 1.97e+05 |        0%        |     8.55%     |
|  128  | 3072  | N/A |  1   |   [[128, 3072]]    | bf16  |       2.81       |       2.82        |       2.84       |        2.49        | 0.00e+00 | 3.93e+05 |        0%        |    13.99%     |
|  256  | 3072  | N/A |  1   |   [[256, 3072]]    | bf16  |       3.12       |       3.13        |       3.14       |        2.98        | 0.00e+00 | 7.86e+05 |        0%        |    25.21%     |
|  512  | 3072  | N/A |  1   |   [[512, 3072]]    | bf16  |       4.11       |       4.12        |       4.13       |        3.97        | 0.00e+00 | 1.57e+06 |        0%        |    38.27%     |
| 1024  | 3072  | N/A |  1   |   [[1024, 3072]]   | bf16  |       6.08       |        6.1        |       6.11       |        5.93        | 0.00e+00 | 3.15e+06 |        0%        |    51.74%     |
| 2048  | 3072  | N/A |  1   |   [[2048, 3072]]   | bf16  |      10.21       |       10.22       |      10.24       |        9.86        | 0.00e+00 | 6.29e+06 |        0%        |    61.62%     |
| 4096  | 3072  | N/A |  1   |   [[4096, 3072]]   | bf16  |      18.14       |       18.18       |      18.24       |       17.73        | 0.00e+00 | 1.26e+07 |        0%        |    69.37%     |
| 8192  | 3072  | N/A |  1   |   [[8192, 3072]]   | bf16  |      34.12       |       34.15       |      34.17       |       33.46        | 0.00e+00 | 2.52e+07 |        0%        |    73.76%     |
| 16384 | 3072  | N/A |  1   |  [[16384, 3072]]   | bf16  |      65.65       |       65.69       |      65.73       |       64.91        | 0.00e+00 | 5.03e+07 |        0%        |    76.67%     |
| 32768 | 3072  | N/A |  1   |  [[32768, 3072]]   | bf16  |      128.36      |      128.39       |      128.41      |       127.83       | 0.00e+00 | 1.01e+08 |        0%        |    78.42%     |
|   1   | 4096  | N/A |  1   |    [[1, 4096]]     | bf16  |       2.15       |       2.17        |       2.18       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.19%     |
|   2   | 4096  | N/A |  1   |    [[2, 4096]]     | bf16  |       2.14       |       2.16        |       2.17       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.38%     |
|   4   | 4096  | N/A |  1   |    [[4, 4096]]     | bf16  |       2.35       |       2.37        |       2.39       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     0.7%      |
|   8   | 4096  | N/A |  1   |    [[8, 4096]]     | bf16  |       2.38       |        2.4        |       2.41       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     1.38%     |
|  16   | 4096  | N/A |  1   |    [[16, 4096]]    | bf16  |       2.38       |        2.4        |       2.42       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     2.75%     |
|  32   | 4096  | N/A |  1   |    [[32, 4096]]    | bf16  |       2.47       |        2.5        |       2.53       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     5.31%     |
|  64   | 4096  | N/A |  1   |    [[64, 4096]]    | bf16  |       2.65       |       2.69        |       2.74       |        2.33        | 0.00e+00 | 2.62e+05 |        0%        |     9.89%     |
|  128  | 4096  | N/A |  1   |   [[128, 4096]]    | bf16  |       2.97       |       2.99        |       3.0        |        2.66        | 0.00e+00 | 5.24e+05 |        0%        |    17.65%     |
|  256  | 4096  | N/A |  1   |   [[256, 4096]]    | bf16  |       3.63       |       3.63        |       3.64       |        3.31        | 0.00e+00 | 1.05e+06 |        0%        |    28.89%     |
|  512  | 4096  | N/A |  1   |   [[512, 4096]]    | bf16  |       4.93       |       4.95        |       4.96       |        4.62        | 0.00e+00 | 2.10e+06 |        0%        |    42.54%     |
| 1024  | 4096  | N/A |  1   |   [[1024, 4096]]   | bf16  |       7.58       |       7.59        |       7.6        |        7.24        | 0.00e+00 | 4.19e+06 |        0%        |    55.33%     |
| 2048  | 4096  | N/A |  1   |   [[2048, 4096]]   | bf16  |      12.84       |       12.87       |       12.9       |       12.49        | 0.00e+00 | 8.39e+06 |        0%        |    65.33%     |
| 4096  | 4096  | N/A |  1   |   [[4096, 4096]]   | bf16  |      23.58       |       23.61       |      23.64       |       22.97        | 0.00e+00 | 1.68e+07 |        0%        |    71.15%     |
| 8192  | 4096  | N/A |  1   |   [[8192, 4096]]   | bf16  |      44.67       |       44.7        |      44.72       |       43.94        | 0.00e+00 | 3.36e+07 |        0%        |    75.12%     |
| 16384 | 4096  | N/A |  1   |  [[16384, 4096]]   | bf16  |      86.32       |       86.36       |       86.4       |       85.89        | 0.00e+00 | 6.71e+07 |        0%        |    77.74%     |
| 32768 | 4096  | N/A |  1   |  [[32768, 4096]]   | bf16  |      170.34      |      170.37       |      170.41      |       169.77       | 0.00e+00 | 1.34e+08 |        0%        |    78.79%     |
|   1   | 5120  | N/A |  1   |    [[1, 5120]]     | bf16  |       2.13       |       2.16        |       2.19       |        2.01        | 0.00e+00 | 5.12e+03 |        0%        |     0.24%     |
|   2   | 5120  | N/A |  1   |    [[2, 5120]]     | bf16  |       2.31       |       2.34        |       2.37       |        2.01        | 0.00e+00 | 1.02e+04 |        0%        |     0.44%     |
|   4   | 5120  | N/A |  1   |    [[4, 5120]]     | bf16  |       2.35       |       2.36        |       2.38       |        2.03        | 0.00e+00 | 2.05e+04 |        0%        |     0.87%     |
|   8   | 5120  | N/A |  1   |    [[8, 5120]]     | bf16  |       2.4        |       2.42        |       2.43       |        2.05        | 0.00e+00 | 4.10e+04 |        0%        |     1.71%     |
|  16   | 5120  | N/A |  1   |    [[16, 5120]]    | bf16  |       2.4        |       2.44        |       2.49       |        2.1         | 0.00e+00 | 8.19e+04 |        0%        |     3.41%     |
|  32   | 5120  | N/A |  1   |    [[32, 5120]]    | bf16  |       2.52       |       2.54        |       2.57       |        2.2         | 0.00e+00 | 1.64e+05 |        0%        |     6.5%      |
|  64   | 5120  | N/A |  1   |    [[64, 5120]]    | bf16  |       2.72       |       2.74        |       2.76       |        2.41        | 0.00e+00 | 3.28e+05 |        0%        |    12.05%     |
|  128  | 5120  | N/A |  1   |   [[128, 5120]]    | bf16  |       3.11       |       3.15        |       3.18       |        2.82        | 0.00e+00 | 6.55e+05 |        0%        |    21.07%     |
|  256  | 5120  | N/A |  1   |   [[256, 5120]]    | bf16  |       3.95       |       3.97        |       4.0        |        3.64        | 0.00e+00 | 1.31e+06 |        0%        |    33.18%     |
|  512  | 5120  | N/A |  1   |   [[512, 5120]]    | bf16  |       5.6        |       5.63        |       5.66       |        5.28        | 0.00e+00 | 2.62e+06 |        0%        |    46.81%     |
| 1024  | 5120  | N/A |  1   |   [[1024, 5120]]   | bf16  |       8.88       |       8.89        |       8.91       |        8.55        | 0.00e+00 | 5.24e+06 |        0%        |    59.04%     |
| 2048  | 5120  | N/A |  1   |   [[2048, 5120]]   | bf16  |      15.46       |       15.49       |      15.51       |       15.11        | 0.00e+00 | 1.05e+07 |        0%        |    67.83%     |
| 4096  | 5120  | N/A |  1   |   [[4096, 5120]]   | bf16  |      28.86       |       28.89       |      28.92       |       28.21        | 0.00e+00 | 2.10e+07 |        0%        |    72.67%     |
| 8192  | 5120  | N/A |  1   |   [[8192, 5120]]   | bf16  |      55.19       |       55.21       |      55.24       |       54.43        | 0.00e+00 | 4.19e+07 |        0%        |     76.0%     |
| 16384 | 5120  | N/A |  1   |  [[16384, 5120]]   | bf16  |      107.69      |      107.72       |      107.75      |       106.86       | 0.00e+00 | 8.39e+07 |        0%        |     77.9%     |
| 32768 | 5120  | N/A |  1   |  [[32768, 5120]]   | bf16  |      212.38      |       212.4       |      212.43      |       211.72       | 0.00e+00 | 1.68e+08 |        0%        |     79.0%     |
|   1   | 6144  | N/A |  1   |    [[1, 6144]]     | bf16  |       2.14       |       2.16        |       2.18       |        2.01        | 0.00e+00 | 6.14e+03 |        0%        |     0.29%     |
|   2   | 6144  | N/A |  1   |    [[2, 6144]]     | bf16  |       2.17       |       2.17        |       2.18       |        2.02        | 0.00e+00 | 1.23e+04 |        0%        |     0.57%     |
|   4   | 6144  | N/A |  1   |    [[4, 6144]]     | bf16  |       2.37       |       2.38        |       2.4        |        2.03        | 0.00e+00 | 2.46e+04 |        0%        |     1.04%     |
|   8   | 6144  | N/A |  1   |    [[8, 6144]]     | bf16  |       2.41       |       2.42        |       2.44       |        2.06        | 0.00e+00 | 4.92e+04 |        0%        |     2.04%     |
|  16   | 6144  | N/A |  1   |    [[16, 6144]]    | bf16  |       2.42       |       2.44        |       2.46       |        2.12        | 0.00e+00 | 9.83e+04 |        0%        |     4.06%     |
|  32   | 6144  | N/A |  1   |    [[32, 6144]]    | bf16  |       2.56       |       2.57        |       2.58       |        2.25        | 0.00e+00 | 1.97e+05 |        0%        |     7.68%     |
|  64   | 6144  | N/A |  1   |    [[64, 6144]]    | bf16  |       2.81       |       2.83        |       2.84       |        2.49        | 0.00e+00 | 3.93e+05 |        0%        |    13.99%     |
|  128  | 6144  | N/A |  1   |   [[128, 6144]]    | bf16  |       3.29       |       3.31        |       3.34       |        2.98        | 0.00e+00 | 7.86e+05 |        0%        |     23.9%     |
|  256  | 6144  | N/A |  1   |   [[256, 6144]]    | bf16  |       4.29       |        4.3        |       4.31       |        3.97        | 0.00e+00 | 1.57e+06 |        0%        |    36.66%     |
