Test Case: H100PCIE_aten_slice
|   M   |  N   |  B  | dim | end | start | step |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 1024  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[1024, 2048]]   | bf16  |       1.51       |       1.53        |       1.55       |        4.62        | 0.00e+00 | 2.10e+06 |        0%        |    138.88%    |
| 2048  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[2048, 2048]]   | bf16  |       1.49       |       1.49        |       1.5        |        7.24        | 0.00e+00 | 4.19e+06 |        0%        |    281.5%     |
| 4096  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[4096, 2048]]   | bf16  |       1.5        |       1.52        |       1.53       |       12.49        | 0.00e+00 | 8.39e+06 |        0%        |    559.24%    |
| 8192  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[8192, 2048]]   | bf16  |       1.49       |       1.51        |       1.52       |       22.97        | 0.00e+00 | 1.68e+07 |        0%        |   1125.99%    |
| 16384 | 2048 | N/A |  0  |  8  |   0   |  1   |  [[16384, 2048]]   | bf16  |       1.5        |       1.52        |       1.58       |       43.94        | 0.00e+00 | 3.36e+07 |        0%        |   2236.96%    |
| 32768 | 2048 | N/A |  0  |  8  |   0   |  1   |  [[32768, 2048]]   | bf16  |       1.52       |       1.54        |       1.6        |       85.89        | 0.00e+00 | 6.71e+07 |        0%        |   4415.06%    |
|  32   | 3072 | N/A |  0  |  8  |   0   |  1   |    [[32, 3072]]    | bf16  |       1.5        |       1.52        |       1.54       |        2.12        | 0.00e+00 | 9.83e+04 |        0%        |     6.55%     |
|  64   | 3072 | N/A |  0  |  8  |   0   |  1   |    [[64, 3072]]    | bf16  |       1.49       |       1.53        |       1.59       |        2.25        | 0.00e+00 | 1.97e+05 |        0%        |     13.2%     |
|  128  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[128, 3072]]    | bf16  |       1.49       |       1.52        |       1.57       |        2.49        | 0.00e+00 | 3.93e+05 |        0%        |    26.39%     |
|  256  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[256, 3072]]    | bf16  |       1.5        |       1.52        |       1.55       |        2.98        | 0.00e+00 | 7.86e+05 |        0%        |    52.43%     |
|  512  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[512, 3072]]    | bf16  |       1.51       |       1.52        |       1.53       |        3.97        | 0.00e+00 | 1.57e+06 |        0%        |    104.16%    |
| 1024  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[1024, 3072]]   | bf16  |       1.49       |        1.5        |       1.52       |        5.93        | 0.00e+00 | 3.15e+06 |        0%        |    211.12%    |
| 2048  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[2048, 3072]]   | bf16  |       1.48       |       1.51        |       1.6        |        9.86        | 0.00e+00 | 6.29e+06 |        0%        |    425.1%     |
| 4096  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[4096, 3072]]   | bf16  |       1.5        |       1.52        |       1.54       |       17.73        | 0.00e+00 | 1.26e+07 |        0%        |    838.86%    |
| 8192  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[8192, 3072]]   | bf16  |       1.49       |       1.51        |       1.53       |       33.46        | 0.00e+00 | 2.52e+07 |        0%        |   1688.98%    |
| 16384 | 3072 | N/A |  0  |  8  |   0   |  1   |  [[16384, 3072]]   | bf16  |       1.5        |       1.52        |       1.54       |       64.91        | 0.00e+00 | 5.03e+07 |        0%        |   3355.44%    |
| 32768 | 3072 | N/A |  0  |  8  |   0   |  1   |  [[32768, 3072]]   | bf16  |       1.47       |        1.5        |       1.52       |       127.83       | 0.00e+00 | 1.01e+08 |        0%        |   6847.84%    |
|  32   | 4096 | N/A |  0  |  8  |   0   |  1   |    [[32, 4096]]    | bf16  |       1.49       |       1.51        |       1.53       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     8.8%      |
|  64   | 4096 | N/A |  0  |  8  |   0   |  1   |    [[64, 4096]]    | bf16  |       1.51       |       1.53        |       1.54       |        2.33        | 0.00e+00 | 2.62e+05 |        0%        |    17.36%     |
|  128  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[128, 4096]]    | bf16  |       1.48       |       1.51        |       1.53       |        2.66        | 0.00e+00 | 5.24e+05 |        0%        |    35.42%     |
|  256  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[256, 4096]]    | bf16  |       1.5        |       1.52        |       1.53       |        3.31        | 0.00e+00 | 1.05e+06 |        0%        |    69.91%     |
|  512  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[512, 4096]]    | bf16  |       1.5        |       1.52        |       1.56       |        4.62        | 0.00e+00 | 2.10e+06 |        0%        |    139.81%    |
| 1024  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[1024, 4096]]   | bf16  |       1.48       |       1.51        |       1.53       |        7.24        | 0.00e+00 | 4.19e+06 |        0%        |    283.4%     |
| 2048  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[2048, 4096]]   | bf16  |       1.48       |        1.5        |       1.52       |       12.49        | 0.00e+00 | 8.39e+06 |        0%        |    566.8%     |
| 4096  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[4096, 4096]]   | bf16  |       1.5        |       1.52        |       1.55       |       22.97        | 0.00e+00 | 1.68e+07 |        0%        |   1118.48%    |
| 8192  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[8192, 4096]]   | bf16  |       1.5        |       1.52        |       1.58       |       43.94        | 0.00e+00 | 3.36e+07 |        0%        |   2236.96%    |
| 16384 | 4096 | N/A |  0  |  8  |   0   |  1   |  [[16384, 4096]]   | bf16  |       1.48       |       1.51        |       1.53       |       85.89        | 0.00e+00 | 6.71e+07 |        0%        |   4534.38%    |
| 32768 | 4096 | N/A |  0  |  8  |   0   |  1   |  [[32768, 4096]]   | bf16  |       1.5        |       1.51        |       1.53       |       169.77       | 0.00e+00 | 1.34e+08 |        0%        |   8947.85%    |
|  32   | 8192 | N/A |  0  |  8  |   0   |  1   |    [[32, 8192]]    | bf16  |       1.5        |       1.53        |       1.54       |        2.33        | 0.00e+00 | 2.62e+05 |        0%        |    17.48%     |
|  64   | 8192 | N/A |  0  |  8  |   0   |  1   |    [[64, 8192]]    | bf16  |       1.48       |       1.51        |       1.53       |        2.66        | 0.00e+00 | 5.24e+05 |        0%        |    35.42%     |
|  128  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[128, 8192]]    | bf16  |       1.49       |        1.5        |       1.51       |        3.31        | 0.00e+00 | 1.05e+06 |        0%        |    70.37%     |
|  256  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[256, 8192]]    | bf16  |       1.49       |       1.51        |       1.54       |        4.62        | 0.00e+00 | 2.10e+06 |        0%        |    140.75%    |
|  512  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[512, 8192]]    | bf16  |       1.49       |        1.5        |       1.53       |        7.24        | 0.00e+00 | 4.19e+06 |        0%        |    281.5%     |
| 1024  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[1024, 8192]]   | bf16  |       1.47       |        1.5        |       1.52       |       12.49        | 0.00e+00 | 8.39e+06 |        0%        |    570.65%    |
| 2048  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[2048, 8192]]   | bf16  |       1.48       |       1.51        |       1.52       |       22.97        | 0.00e+00 | 1.68e+07 |        0%        |    1133.6%    |
| 4096  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[4096, 8192]]   | bf16  |       1.49       |       1.51        |       1.53       |       43.94        | 0.00e+00 | 3.36e+07 |        0%        |   2251.98%    |
| 8192  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[8192, 8192]]   | bf16  |       1.48       |       1.51        |       1.53       |       85.89        | 0.00e+00 | 6.71e+07 |        0%        |   4534.38%    |
| 16384 | 8192 | N/A |  0  |  8  |   0   |  1   |  [[16384, 8192]]   | bf16  |       1.49       |       1.52        |       1.55       |       169.77       | 0.00e+00 | 1.34e+08 |        0%        |    9007.9%    |
| 32768 | 8192 | N/A |  0  |  8  |   0   |  1   |  [[32768, 8192]]   | bf16  |       1.5        |       1.53        |       1.55       |       337.54       | 0.00e+00 | 2.68e+08 |        0%        |   17895.7%    |
|  32   |  32  | N/A |  0  |  8  |   1   |  1   |     [[32, 32]]     | bf16  |       1.5        |       1.52        |       1.54       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.07%     |
|  64   |  32  | N/A |  0  |  8  |   1   |  1   |     [[64, 32]]     | bf16  |       1.48       |       1.52        |       1.55       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.14%     |
|  128  |  32  | N/A |  0  |  8  |   1   |  1   |    [[128, 32]]     | bf16  |       1.51       |       1.53        |       1.55       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.27%     |
|  256  |  32  | N/A |  0  |  8  |   1   |  1   |    [[256, 32]]     | bf16  |       1.51       |       1.53        |       1.54       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.54%     |
|  512  |  32  | N/A |  0  |  8  |   1   |  1   |    [[512, 32]]     | bf16  |       1.5        |       1.52        |       1.59       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     1.09%     |
| 1024  |  32  | N/A |  0  |  8  |   1   |  1   |    [[1024, 32]]    | bf16  |       1.5        |       1.52        |       1.54       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     2.18%     |
| 2048  |  32  | N/A |  0  |  8  |   1   |  1   |    [[2048, 32]]    | bf16  |       1.5        |       1.52        |       1.56       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     4.37%     |
| 4096  |  32  | N/A |  0  |  8  |   1   |  1   |    [[4096, 32]]    | bf16  |       1.51       |       1.53        |       1.54       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     8.68%     |
| 8192  |  32  | N/A |  0  |  8  |   1   |  1   |    [[8192, 32]]    | bf16  |       1.49       |       1.51        |       1.53       |        2.33        | 0.00e+00 | 2.62e+05 |        0%        |    17.59%     |
| 16384 |  32  | N/A |  0  |  8  |   1   |  1   |   [[16384, 32]]    | bf16  |       1.51       |       1.55        |       1.61       |        2.66        | 0.00e+00 | 5.24e+05 |        0%        |    34.72%     |
| 32768 |  32  | N/A |  0  |  8  |   1   |  1   |   [[32768, 32]]    | bf16  |       1.5        |       1.51        |       1.53       |        3.31        | 0.00e+00 | 1.05e+06 |        0%        |    69.91%     |
|  32   |  64  | N/A |  0  |  8  |   1   |  1   |     [[32, 64]]     | bf16  |       1.5        |       1.52        |       1.54       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.14%     |
|  64   |  64  | N/A |  0  |  8  |   1   |  1   |     [[64, 64]]     | bf16  |       1.5        |       1.52        |       1.53       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.27%     |
|  128  |  64  | N/A |  0  |  8  |   1   |  1   |    [[128, 64]]     | bf16  |       1.51       |       1.52        |       1.54       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.54%     |
|  256  |  64  | N/A |  0  |  8  |   1   |  1   |    [[256, 64]]     | bf16  |       1.51       |       1.53        |       1.58       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     1.09%     |
|  512  |  64  | N/A |  0  |  8  |   1   |  1   |    [[512, 64]]     | bf16  |       1.49       |       1.51        |       1.54       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     2.2%      |
| 1024  |  64  | N/A |  0  |  8  |   1   |  1   |    [[1024, 64]]    | bf16  |       1.49       |       1.52        |       1.54       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     4.4%      |
| 2048  |  64  | N/A |  0  |  8  |   1   |  1   |    [[2048, 64]]    | bf16  |       1.52       |       1.53        |       1.54       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     8.62%     |
| 4096  |  64  | N/A |  0  |  8  |   1   |  1   |    [[4096, 64]]    | bf16  |       1.44       |       1.46        |       1.48       |        2.33        | 0.00e+00 | 2.62e+05 |        0%        |     18.2%     |
| 8192  |  64  | N/A |  0  |  8  |   1   |  1   |    [[8192, 64]]    | bf16  |       0.37       |       0.39        |       0.4        |        2.66        | 0.00e+00 | 5.24e+05 |        0%        |    141.7%     |
| 16384 |  64  | N/A |  0  |  8  |   1   |  1   |   [[16384, 64]]    | bf16  |       0.48       |       0.48        |       0.5        |        3.31        | 0.00e+00 | 1.05e+06 |        0%        |    218.45%    |
| 32768 |  64  | N/A |  0  |  8  |   1   |  1   |   [[32768, 64]]    | bf16  |       1.45       |       1.47        |       1.5        |        4.62        | 0.00e+00 | 2.10e+06 |        0%        |    144.63%    |
|  32   | 128  | N/A |  0  |  8  |   1   |  1   |    [[32, 128]]     | bf16  |       1.52       |       1.53        |       1.54       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.27%     |
|  64   | 128  | N/A |  0  |  8  |   1   |  1   |    [[64, 128]]     | bf16  |       1.49       |       1.51        |       1.52       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.55%     |
|  128  | 128  | N/A |  0  |  8  |   1   |  1   |    [[128, 128]]    | bf16  |       1.49       |       1.52        |       1.55       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     1.1%      |
|  256  | 128  | N/A |  0  |  8  |   1   |  1   |    [[256, 128]]    | bf16  |       1.5        |       1.52        |       1.54       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     2.18%     |
|  512  | 128  | N/A |  0  |  8  |   1   |  1   |    [[512, 128]]    | bf16  |       1.5        |       1.53        |       1.55       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     4.37%     |
| 1024  | 128  | N/A |  0  |  8  |   1   |  1   |   [[1024, 128]]    | bf16  |       1.49       |        1.5        |       1.53       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     8.8%      |
| 2048  | 128  | N/A |  0  |  8  |   1   |  1   |   [[2048, 128]]    | bf16  |       1.48       |       1.52        |       1.59       |        2.33        | 0.00e+00 | 2.62e+05 |        0%        |    17.71%     |
| 4096  | 128  | N/A |  0  |  8  |   1   |  1   |   [[4096, 128]]    | bf16  |       1.52       |       1.53        |       1.55       |        2.66        | 0.00e+00 | 5.24e+05 |        0%        |    34.49%     |
| 8192  | 128  | N/A |  0  |  8  |   1   |  1   |   [[8192, 128]]    | bf16  |       1.5        |       1.52        |       1.54       |        3.31        | 0.00e+00 | 1.05e+06 |        0%        |    69.91%     |
| 16384 | 128  | N/A |  0  |  8  |   1   |  1   |   [[16384, 128]]   | bf16  |       1.49       |        1.5        |       1.52       |        4.62        | 0.00e+00 | 2.10e+06 |        0%        |    140.75%    |
| 32768 | 128  | N/A |  0  |  8  |   1   |  1   |   [[32768, 128]]   | bf16  |       1.51       |       1.54        |       1.58       |        7.24        | 0.00e+00 | 4.19e+06 |        0%        |    277.77%    |
|  32   | 512  | N/A |  0  |  8  |   1   |  1   |    [[32, 512]]     | bf16  |       1.49       |       1.52        |       1.54       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     1.1%      |
|  64   | 512  | N/A |  0  |  8  |   1   |  1   |    [[64, 512]]     | bf16  |       1.5        |       1.52        |       1.54       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     2.18%     |
|  128  | 512  | N/A |  0  |  8  |   1   |  1   |    [[128, 512]]    | bf16  |       1.49       |       1.51        |       1.52       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     4.4%      |
