Test Case: H20SXM_aten_slice
|   M   |  N   |  B  | dim | end | start | step |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 1024  | 768  | N/A |  0  |  8  |   0   |  1   |   [[1024, 768]]    | bf16  |       0.76       |       0.78        |       0.8        |        2.49        | 0.00e+00 | 7.86e+05 |        0%        |    51.74%     |
| 2048  | 768  | N/A |  0  |  8  |   0   |  1   |   [[2048, 768]]    | bf16  |       0.76       |       0.78        |       0.81       |        2.98        | 0.00e+00 | 1.57e+06 |        0%        |    103.48%    |
| 4096  | 768  | N/A |  0  |  8  |   0   |  1   |   [[4096, 768]]    | bf16  |       0.75       |        0.8        |       0.88       |        3.97        | 0.00e+00 | 3.15e+06 |        0%        |    209.72%    |
| 8192  | 768  | N/A |  0  |  8  |   0   |  1   |   [[8192, 768]]    | bf16  |       0.76       |       0.78        |       0.82       |        5.93        | 0.00e+00 | 6.29e+06 |        0%        |    413.91%    |
| 16384 | 768  | N/A |  0  |  8  |   0   |  1   |   [[16384, 768]]   | bf16  |       0.76       |       0.78        |       0.81       |        9.86        | 0.00e+00 | 1.26e+07 |        0%        |    827.82%    |
| 32768 | 768  | N/A |  0  |  8  |   0   |  1   |   [[32768, 768]]   | bf16  |       0.75       |       0.76        |       0.79       |       17.73        | 0.00e+00 | 2.52e+07 |        0%        |   1677.72%    |
|  32   | 2048 | N/A |  0  |  8  |   0   |  1   |    [[32, 2048]]    | bf16  |       0.77       |       0.78        |       0.8        |        2.04        | 0.00e+00 | 6.55e+04 |        0%        |     4.26%     |
|  64   | 2048 | N/A |  0  |  8  |   0   |  1   |    [[64, 2048]]    | bf16  |       0.74       |       0.77        |       0.8        |        2.08        | 0.00e+00 | 1.31e+05 |        0%        |     8.86%     |
|  128  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[128, 2048]]    | bf16  |       0.76       |       0.78        |       0.81       |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |    17.25%     |
|  256  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[256, 2048]]    | bf16  |       0.74       |       0.76        |       0.79       |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    35.42%     |
|  512  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[512, 2048]]    | bf16  |       0.75       |       0.78        |       0.8        |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    69.91%     |
| 1024  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[1024, 2048]]   | bf16  |       0.73       |       0.75        |       0.79       |        3.31        | 0.00e+00 | 2.10e+06 |        0%        |    143.64%    |
| 2048  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[2048, 2048]]   | bf16  |       0.75       |       0.77        |       0.79       |        4.62        | 0.00e+00 | 4.19e+06 |        0%        |    279.62%    |
| 4096  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[4096, 2048]]   | bf16  |       0.75       |       0.77        |       0.8        |        7.24        | 0.00e+00 | 8.39e+06 |        0%        |    559.24%    |
| 8192  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[8192, 2048]]   | bf16  |       0.75       |       0.77        |       0.8        |       12.49        | 0.00e+00 | 1.68e+07 |        0%        |   1118.48%    |
| 16384 | 2048 | N/A |  0  |  8  |   0   |  1   |  [[16384, 2048]]   | bf16  |       0.75       |       0.78        |       0.81       |       22.97        | 0.00e+00 | 3.36e+07 |        0%        |   2236.96%    |
| 32768 | 2048 | N/A |  0  |  8  |   0   |  1   |  [[32768, 2048]]   | bf16  |       0.75       |        0.8        |       0.83       |       43.94        | 0.00e+00 | 6.71e+07 |        0%        |   4473.92%    |
|  32   | 3072 | N/A |  0  |  8  |   0   |  1   |    [[32, 3072]]    | bf16  |       0.73       |       0.76        |       0.81       |        2.06        | 0.00e+00 | 9.83e+04 |        0%        |     6.73%     |
|  64   | 3072 | N/A |  0  |  8  |   0   |  1   |    [[64, 3072]]    | bf16  |       0.77       |       0.78        |       0.8        |        2.12        | 0.00e+00 | 1.97e+05 |        0%        |    12.77%     |
|  128  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[128, 3072]]    | bf16  |       0.72       |       0.77        |       0.82       |        2.25        | 0.00e+00 | 3.93e+05 |        0%        |    27.31%     |
|  256  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[256, 3072]]    | bf16  |       0.76       |       0.77        |       0.8        |        2.49        | 0.00e+00 | 7.86e+05 |        0%        |    51.74%     |
|  512  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[512, 3072]]    | bf16  |       0.75       |       0.77        |       0.81       |        2.98        | 0.00e+00 | 1.57e+06 |        0%        |    104.86%    |
| 1024  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[1024, 3072]]   | bf16  |       0.75       |       0.76        |       0.79       |        3.97        | 0.00e+00 | 3.15e+06 |        0%        |    209.72%    |
| 2048  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[2048, 3072]]   | bf16  |       0.75       |       0.77        |       0.79       |        5.93        | 0.00e+00 | 6.29e+06 |        0%        |    419.43%    |
| 4096  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[4096, 3072]]   | bf16  |       0.74       |       0.78        |       0.82       |        9.86        | 0.00e+00 | 1.26e+07 |        0%        |    850.2%     |
| 8192  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[8192, 3072]]   | bf16  |       0.75       |       0.77        |       0.79       |       17.73        | 0.00e+00 | 2.52e+07 |        0%        |   1677.72%    |
| 16384 | 3072 | N/A |  0  |  8  |   0   |  1   |  [[16384, 3072]]   | bf16  |       0.75       |       0.77        |       0.78       |       33.46        | 0.00e+00 | 5.03e+07 |        0%        |   3355.44%    |
| 32768 | 3072 | N/A |  0  |  8  |   0   |  1   |  [[32768, 3072]]   | bf16  |       0.74       |       0.77        |       0.8        |       64.91        | 0.00e+00 | 1.01e+08 |        0%        |   6801.57%    |
|  32   | 4096 | N/A |  0  |  8  |   0   |  1   |    [[32, 4096]]    | bf16  |       0.75       |       0.77        |       0.82       |        2.08        | 0.00e+00 | 1.31e+05 |        0%        |     8.74%     |
|  64   | 4096 | N/A |  0  |  8  |   0   |  1   |    [[64, 4096]]    | bf16  |       0.76       |       0.78        |       0.81       |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |    17.25%     |
|  128  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[128, 4096]]    | bf16  |       0.75       |       0.77        |       0.81       |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    34.95%     |
|  256  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[256, 4096]]    | bf16  |       0.76       |       0.78        |       0.82       |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    68.99%     |
|  512  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[512, 4096]]    | bf16  |       0.75       |       0.78        |       0.8        |        3.31        | 0.00e+00 | 2.10e+06 |        0%        |    139.81%    |
| 1024  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[1024, 4096]]   | bf16  |       0.75       |       0.77        |       0.8        |        4.62        | 0.00e+00 | 4.19e+06 |        0%        |    279.62%    |
| 2048  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[2048, 4096]]   | bf16  |       0.75       |       0.77        |       0.8        |        7.24        | 0.00e+00 | 8.39e+06 |        0%        |    559.24%    |
| 4096  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[4096, 4096]]   | bf16  |       0.75       |       0.77        |       0.81       |       12.49        | 0.00e+00 | 1.68e+07 |        0%        |   1118.48%    |
| 8192  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[8192, 4096]]   | bf16  |       0.75       |       0.77        |       0.79       |       22.97        | 0.00e+00 | 3.36e+07 |        0%        |   2236.96%    |
| 16384 | 4096 | N/A |  0  |  8  |   0   |  1   |  [[16384, 4096]]   | bf16  |       0.76       |       0.78        |       0.81       |       43.94        | 0.00e+00 | 6.71e+07 |        0%        |   4415.06%    |
| 32768 | 4096 | N/A |  0  |  8  |   0   |  1   |  [[32768, 4096]]   | bf16  |       0.75       |       0.78        |       0.8        |       85.89        | 0.00e+00 | 1.34e+08 |        0%        |   8947.85%    |
|  32   | 8192 | N/A |  0  |  8  |   0   |  1   |    [[32, 8192]]    | bf16  |       0.73       |       0.76        |       0.81       |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |    17.96%     |
|  64   | 8192 | N/A |  0  |  8  |   0   |  1   |    [[64, 8192]]    | bf16  |       0.74       |       0.76        |       0.8        |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    35.42%     |
|  128  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[128, 8192]]    | bf16  |       0.74       |       0.77        |       0.79       |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    70.85%     |
|  256  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[256, 8192]]    | bf16  |       0.76       |       0.79        |       0.81       |        3.31        | 0.00e+00 | 2.10e+06 |        0%        |    137.97%    |
|  512  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[512, 8192]]    | bf16  |       0.75       |       0.78        |       0.83       |        4.62        | 0.00e+00 | 4.19e+06 |        0%        |    279.62%    |
| 1024  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[1024, 8192]]   | bf16  |       0.76       |       0.79        |       0.82       |        7.24        | 0.00e+00 | 8.39e+06 |        0%        |    551.88%    |
| 2048  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[2048, 8192]]   | bf16  |       0.75       |       0.77        |       0.81       |       12.49        | 0.00e+00 | 1.68e+07 |        0%        |   1118.48%    |
| 4096  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[4096, 8192]]   | bf16  |       0.76       |       0.79        |       0.82       |       22.97        | 0.00e+00 | 3.36e+07 |        0%        |   2207.53%    |
| 8192  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[8192, 8192]]   | bf16  |       0.74       |       0.77        |       0.8        |       43.94        | 0.00e+00 | 6.71e+07 |        0%        |   4534.38%    |
| 16384 | 8192 | N/A |  0  |  8  |   0   |  1   |  [[16384, 8192]]   | bf16  |       0.75       |       0.77        |       0.79       |       85.89        | 0.00e+00 | 1.34e+08 |        0%        |   8947.85%    |
| 32768 | 8192 | N/A |  0  |  8  |   0   |  1   |  [[32768, 8192]]   | bf16  |       0.72       |       0.76        |       0.79       |       169.77       | 0.00e+00 | 2.68e+08 |        0%        |   18641.35%   |
|  32   |  32  | N/A |  0  |  8  |   1   |  1   |     [[32, 32]]     | bf16  |       0.75       |       0.78        |       0.79       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.07%     |
|  64   |  32  | N/A |  0  |  8  |   1   |  1   |     [[64, 32]]     | bf16  |       0.74       |       0.76        |       0.82       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.14%     |
|  128  |  32  | N/A |  0  |  8  |   1   |  1   |    [[128, 32]]     | bf16  |       0.75       |       0.78        |       0.85       |        2.0         | 0.00e+00 | 4.10e+03 |        0%        |     0.27%     |
|  256  |  32  | N/A |  0  |  8  |   1   |  1   |    [[256, 32]]     | bf16  |       0.73       |       0.77        |       0.83       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.56%     |
|  512  |  32  | N/A |  0  |  8  |   1   |  1   |    [[512, 32]]     | bf16  |       0.75       |       0.77        |       0.8        |        2.01        | 0.00e+00 | 1.64e+04 |        0%        |     1.09%     |
| 1024  |  32  | N/A |  0  |  8  |   1   |  1   |    [[1024, 32]]    | bf16  |       0.73       |       0.77        |       0.83       |        2.02        | 0.00e+00 | 3.28e+04 |        0%        |     2.24%     |
| 2048  |  32  | N/A |  0  |  8  |   1   |  1   |    [[2048, 32]]    | bf16  |       0.74       |       0.78        |       0.81       |        2.04        | 0.00e+00 | 6.55e+04 |        0%        |     4.43%     |
| 4096  |  32  | N/A |  0  |  8  |   1   |  1   |    [[4096, 32]]    | bf16  |       0.76       |       0.79        |       0.81       |        2.08        | 0.00e+00 | 1.31e+05 |        0%        |     8.62%     |
| 8192  |  32  | N/A |  0  |  8  |   1   |  1   |    [[8192, 32]]    | bf16  |       0.75       |       0.77        |       0.81       |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |    17.48%     |
| 16384 |  32  | N/A |  0  |  8  |   1   |  1   |   [[16384, 32]]    | bf16  |       0.74       |       0.76        |       0.79       |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    35.42%     |
| 32768 |  32  | N/A |  0  |  8  |   1   |  1   |   [[32768, 32]]    | bf16  |       0.74       |       0.77        |       0.8        |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    70.85%     |
|  32   |  64  | N/A |  0  |  8  |   1   |  1   |     [[32, 64]]     | bf16  |       0.77       |       0.78        |       0.79       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.13%     |
|  64   |  64  | N/A |  0  |  8  |   1   |  1   |     [[64, 64]]     | bf16  |       0.76       |       0.78        |       0.81       |        2.0         | 0.00e+00 | 4.10e+03 |        0%        |     0.27%     |
|  128  |  64  | N/A |  0  |  8  |   1   |  1   |    [[128, 64]]     | bf16  |       0.76       |       0.81        |       0.85       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.54%     |
|  256  |  64  | N/A |  0  |  8  |   1   |  1   |    [[256, 64]]     | bf16  |       0.75       |       0.76        |       0.8        |        2.01        | 0.00e+00 | 1.64e+04 |        0%        |     1.09%     |
|  512  |  64  | N/A |  0  |  8  |   1   |  1   |    [[512, 64]]     | bf16  |       0.75       |       0.79        |       0.84       |        2.02        | 0.00e+00 | 3.28e+04 |        0%        |     2.18%     |
| 1024  |  64  | N/A |  0  |  8  |   1   |  1   |    [[1024, 64]]    | bf16  |       0.74       |       0.76        |       0.8        |        2.04        | 0.00e+00 | 6.55e+04 |        0%        |     4.43%     |
| 2048  |  64  | N/A |  0  |  8  |   1   |  1   |    [[2048, 64]]    | bf16  |       0.73       |       0.77        |       0.81       |        2.08        | 0.00e+00 | 1.31e+05 |        0%        |     8.98%     |
| 4096  |  64  | N/A |  0  |  8  |   1   |  1   |    [[4096, 64]]    | bf16  |       0.74       |       0.76        |       0.78       |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |    17.71%     |
| 8192  |  64  | N/A |  0  |  8  |   1   |  1   |    [[8192, 64]]    | bf16  |       0.75       |       0.78        |       0.81       |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    34.95%     |
| 16384 |  64  | N/A |  0  |  8  |   1   |  1   |   [[16384, 64]]    | bf16  |       0.73       |       0.75        |       0.79       |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    71.82%     |
| 32768 |  64  | N/A |  0  |  8  |   1   |  1   |   [[32768, 64]]    | bf16  |       0.75       |       0.78        |       0.8        |        3.31        | 0.00e+00 | 2.10e+06 |        0%        |    139.81%    |
|  32   | 128  | N/A |  0  |  8  |   1   |  1   |    [[32, 128]]     | bf16  |       0.75       |       0.78        |       0.81       |        2.0         | 0.00e+00 | 4.10e+03 |        0%        |     0.27%     |
|  64   | 128  | N/A |  0  |  8  |   1   |  1   |    [[64, 128]]     | bf16  |       0.74       |       0.77        |       0.81       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.55%     |
|  128  | 128  | N/A |  0  |  8  |   1   |  1   |    [[128, 128]]    | bf16  |       0.74       |       0.77        |       0.81       |        2.01        | 0.00e+00 | 1.64e+04 |        0%        |     1.11%     |
|  256  | 128  | N/A |  0  |  8  |   1   |  1   |    [[256, 128]]    | bf16  |       0.75       |       0.77        |       0.8        |        2.02        | 0.00e+00 | 3.28e+04 |        0%        |     2.18%     |
|  512  | 128  | N/A |  0  |  8  |   1   |  1   |    [[512, 128]]    | bf16  |       0.73       |       0.76        |       0.77       |        2.04        | 0.00e+00 | 6.55e+04 |        0%        |     4.49%     |
| 1024  | 128  | N/A |  0  |  8  |   1   |  1   |   [[1024, 128]]    | bf16  |       0.75       |       0.77        |       0.8        |        2.08        | 0.00e+00 | 1.31e+05 |        0%        |     8.74%     |
| 2048  | 128  | N/A |  0  |  8  |   1   |  1   |   [[2048, 128]]    | bf16  |       0.76       |       0.78        |       0.8        |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |    17.25%     |
| 4096  | 128  | N/A |  0  |  8  |   1   |  1   |   [[4096, 128]]    | bf16  |       0.74       |       0.77        |       0.81       |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    35.42%     |
| 8192  | 128  | N/A |  0  |  8  |   1   |  1   |   [[8192, 128]]    | bf16  |       0.76       |       0.78        |       0.8        |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    68.99%     |
| 16384 | 128  | N/A |  0  |  8  |   1   |  1   |   [[16384, 128]]   | bf16  |       0.75       |       0.78        |       0.83       |        3.31        | 0.00e+00 | 2.10e+06 |        0%        |    139.81%    |
| 32768 | 128  | N/A |  0  |  8  |   1   |  1   |   [[32768, 128]]   | bf16  |       0.75       |       0.79        |       0.81       |        4.62        | 0.00e+00 | 4.19e+06 |        0%        |    279.62%    |
|  32   | 512  | N/A |  0  |  8  |   1   |  1   |    [[32, 512]]     | bf16  |       0.75       |       0.78        |       0.8        |        2.01        | 0.00e+00 | 1.64e+04 |        0%        |     1.09%     |
|  64   | 512  | N/A |  0  |  8  |   1   |  1   |    [[64, 512]]     | bf16  |       0.74       |       0.77        |       0.8        |        2.02        | 0.00e+00 | 3.28e+04 |        0%        |     2.21%     |
|  128  | 512  | N/A |  0  |  8  |   1   |  1   |    [[128, 512]]    | bf16  |       0.74       |       0.79        |       0.84       |        2.04        | 0.00e+00 | 6.55e+04 |        0%        |     4.43%     |
