Test Case: H20SXM_aten_fill_
|   M   |   N   |  B  | _val |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  16   |  64   | N/A |  1   |     [[16, 64]]     | bf16  |       1.4        |       1.42        |       1.44       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.04%     |
|  32   |  64   | N/A |  1   |     [[32, 64]]     | bf16  |       1.42       |       1.45        |       1.49       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.07%     |
|  64   |  64   | N/A |  1   |     [[64, 64]]     | bf16  |       1.43       |       1.46        |       1.49       |        2.0         | 0.00e+00 | 4.10e+03 |        0%        |     0.14%     |
|  128  |  64   | N/A |  1   |    [[128, 64]]     | bf16  |       1.44       |       1.47        |       1.5        |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.28%     |
|  256  |  64   | N/A |  1   |    [[256, 64]]     | bf16  |       1.45       |       1.48        |       1.5        |        2.01        | 0.00e+00 | 1.64e+04 |        0%        |     0.56%     |
|  512  |  64   | N/A |  1   |    [[512, 64]]     | bf16  |       1.49       |       1.52        |       1.56       |        2.02        | 0.00e+00 | 3.28e+04 |        0%        |     1.1%      |
| 1024  |  64   | N/A |  1   |    [[1024, 64]]    | bf16  |       1.29       |        1.3        |       1.3        |        2.04        | 0.00e+00 | 6.55e+04 |        0%        |     2.54%     |
| 2048  |  64   | N/A |  1   |    [[2048, 64]]    | bf16  |       1.6        |       1.61        |       1.63       |        2.08        | 0.00e+00 | 1.31e+05 |        0%        |     4.1%      |
| 4096  |  64   | N/A |  1   |    [[4096, 64]]    | bf16  |       1.7        |       1.74        |       1.78       |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |     7.71%     |
| 8192  |  64   | N/A |  1   |    [[8192, 64]]    | bf16  |       2.06       |       2.09        |       2.13       |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    12.73%     |
| 16384 |  64   | N/A |  1   |   [[16384, 64]]    | bf16  |       2.69       |       2.71        |       2.74       |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    19.49%     |
| 32768 |  64   | N/A |  1   |   [[32768, 64]]    | bf16  |       3.96       |       3.98        |       4.0        |        3.31        | 0.00e+00 | 2.10e+06 |        0%        |    26.48%     |
|   1   |  128  | N/A |  1   |     [[1, 128]]     | bf16  |       1.32       |       1.34        |       1.36       |        2.0         | 0.00e+00 | 1.28e+02 |        0%        |     0.0%      |
|   2   |  128  | N/A |  1   |     [[2, 128]]     | bf16  |       1.42       |       1.45        |       1.48       |        2.0         | 0.00e+00 | 2.56e+02 |        0%        |     0.01%     |
|   4   |  128  | N/A |  1   |     [[4, 128]]     | bf16  |       1.38       |       1.41        |       1.45       |        2.0         | 0.00e+00 | 5.12e+02 |        0%        |     0.02%     |
|   8   |  128  | N/A |  1   |     [[8, 128]]     | bf16  |       1.41       |       1.42        |       1.44       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.04%     |
|  16   |  128  | N/A |  1   |    [[16, 128]]     | bf16  |       1.37       |        1.4        |       1.44       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.07%     |
|  32   |  128  | N/A |  1   |    [[32, 128]]     | bf16  |       1.41       |       1.44        |       1.48       |        2.0         | 0.00e+00 | 4.10e+03 |        0%        |     0.15%     |
|  64   |  128  | N/A |  1   |    [[64, 128]]     | bf16  |       1.63       |       1.66        |       1.7        |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.25%     |
|  128  |  128  | N/A |  1   |    [[128, 128]]    | bf16  |       1.44       |       1.47        |       1.5        |        2.01        | 0.00e+00 | 1.64e+04 |        0%        |     0.57%     |
|  256  |  128  | N/A |  1   |    [[256, 128]]    | bf16  |       1.47       |        1.5        |       1.53       |        2.02        | 0.00e+00 | 3.28e+04 |        0%        |     1.11%     |
|  512  |  128  | N/A |  1   |    [[512, 128]]    | bf16  |       1.48       |        1.5        |       1.52       |        2.04        | 0.00e+00 | 6.55e+04 |        0%        |     2.21%     |
| 1024  |  128  | N/A |  1   |   [[1024, 128]]    | bf16  |       1.57       |        1.6        |       1.62       |        2.08        | 0.00e+00 | 1.31e+05 |        0%        |     4.17%     |
| 2048  |  128  | N/A |  1   |   [[2048, 128]]    | bf16  |       1.74       |       1.77        |       1.8        |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |     7.53%     |
| 4096  |  128  | N/A |  1   |   [[4096, 128]]    | bf16  |       2.06       |       2.08        |       2.09       |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    12.73%     |
| 8192  |  128  | N/A |  1   |   [[8192, 128]]    | bf16  |       2.69       |       2.72        |       2.76       |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    19.49%     |
| 16384 |  128  | N/A |  1   |   [[16384, 128]]   | bf16  |       3.95       |       3.99        |       4.04       |        3.31        | 0.00e+00 | 2.10e+06 |        0%        |    26.55%     |
| 32768 |  128  | N/A |  1   |   [[32768, 128]]   | bf16  |       6.44       |       6.48        |       6.52       |        4.62        | 0.00e+00 | 4.19e+06 |        0%        |    32.56%     |
|   1   |  512  | N/A |  1   |     [[1, 512]]     | bf16  |       1.33       |       1.35        |       1.38       |        2.0         | 0.00e+00 | 5.12e+02 |        0%        |     0.02%     |
|   2   |  512  | N/A |  1   |     [[2, 512]]     | bf16  |       1.33       |       1.35        |       1.37       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.04%     |
|   4   |  512  | N/A |  1   |     [[4, 512]]     | bf16  |       1.41       |       1.44        |       1.47       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.07%     |
|   8   |  512  | N/A |  1   |     [[8, 512]]     | bf16  |       1.43       |       1.45        |       1.46       |        2.0         | 0.00e+00 | 4.10e+03 |        0%        |     0.14%     |
|  16   |  512  | N/A |  1   |    [[16, 512]]     | bf16  |       1.45       |       1.47        |       1.5        |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.28%     |
|  32   |  512  | N/A |  1   |    [[32, 512]]     | bf16  |       1.64       |       1.68        |       1.72       |        2.01        | 0.00e+00 | 1.64e+04 |        0%        |     0.5%      |
|  64   |  512  | N/A |  1   |    [[64, 512]]     | bf16  |       1.69       |       1.72        |       1.75       |        2.02        | 0.00e+00 | 3.28e+04 |        0%        |     0.97%     |
|  128  |  512  | N/A |  1   |    [[128, 512]]    | bf16  |       1.68       |        1.7        |       1.72       |        2.04        | 0.00e+00 | 6.55e+04 |        0%        |     1.95%     |
|  256  |  512  | N/A |  1   |    [[256, 512]]    | bf16  |       1.75       |       1.78        |       1.82       |        2.08        | 0.00e+00 | 1.31e+05 |        0%        |     3.74%     |
|  512  |  512  | N/A |  1   |    [[512, 512]]    | bf16  |       1.94       |       1.96        |       1.99       |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |     6.76%     |
| 1024  |  512  | N/A |  1   |   [[1024, 512]]    | bf16  |       2.24       |       2.28        |       2.32       |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |     11.7%     |
| 2048  |  512  | N/A |  1   |   [[2048, 512]]    | bf16  |       2.87       |       2.92        |       2.97       |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    18.27%     |
| 4096  |  512  | N/A |  1   |   [[4096, 512]]    | bf16  |       4.16       |       4.18        |       4.2        |        3.31        | 0.00e+00 | 2.10e+06 |        0%        |    25.21%     |
| 8192  |  512  | N/A |  1   |   [[8192, 512]]    | bf16  |       6.46       |       6.48        |       6.51       |        4.62        | 0.00e+00 | 4.19e+06 |        0%        |    32.46%     |
| 16384 |  512  | N/A |  1   |   [[16384, 512]]   | bf16  |      11.39       |       11.42       |      11.46       |        7.24        | 0.00e+00 | 8.39e+06 |        0%        |    36.82%     |
| 32768 |  512  | N/A |  1   |   [[32768, 512]]   | bf16  |       21.3       |       21.34       |      21.39       |       12.49        | 0.00e+00 | 1.68e+07 |        0%        |    39.38%     |
|   1   |  768  | N/A |  1   |     [[1, 768]]     | bf16  |       1.35       |       1.39        |       1.43       |        2.0         | 0.00e+00 | 7.68e+02 |        0%        |     0.03%     |
|   2   |  768  | N/A |  1   |     [[2, 768]]     | bf16  |       1.42       |       1.45        |       1.47       |        2.0         | 0.00e+00 | 1.54e+03 |        0%        |     0.05%     |
|   4   |  768  | N/A |  1   |     [[4, 768]]     | bf16  |       1.43       |       1.45        |       1.48       |        2.0         | 0.00e+00 | 3.07e+03 |        0%        |     0.11%     |
|   8   |  768  | N/A |  1   |     [[8, 768]]     | bf16  |       1.44       |       1.46        |       1.48       |        2.0         | 0.00e+00 | 6.14e+03 |        0%        |     0.21%     |
|  16   |  768  | N/A |  1   |    [[16, 768]]     | bf16  |       1.44       |       1.47        |       1.5        |        2.01        | 0.00e+00 | 1.23e+04 |        0%        |     0.43%     |
|  32   |  768  | N/A |  1   |    [[32, 768]]     | bf16  |       1.46       |        1.5        |       1.55       |        2.02        | 0.00e+00 | 2.46e+04 |        0%        |     0.84%     |
|  64   |  768  | N/A |  1   |    [[64, 768]]     | bf16  |       1.48       |       1.51        |       1.54       |        2.03        | 0.00e+00 | 4.92e+04 |        0%        |     1.66%     |
|  128  |  768  | N/A |  1   |    [[128, 768]]    | bf16  |       1.52       |       1.55        |       1.59       |        2.06        | 0.00e+00 | 9.83e+04 |        0%        |     3.23%     |
|  256  |  768  | N/A |  1   |    [[256, 768]]    | bf16  |       1.67       |        1.7        |       1.73       |        2.12        | 0.00e+00 | 1.97e+05 |        0%        |     5.89%     |
|  512  |  768  | N/A |  1   |    [[512, 768]]    | bf16  |       1.9        |       1.92        |       1.95       |        2.25        | 0.00e+00 | 3.93e+05 |        0%        |    10.35%     |
| 1024  |  768  | N/A |  1   |   [[1024, 768]]    | bf16  |       2.38       |        2.4        |       2.43       |        2.49        | 0.00e+00 | 7.86e+05 |        0%        |    16.52%     |
| 2048  |  768  | N/A |  1   |   [[2048, 768]]    | bf16  |       3.32       |       3.34        |       3.36       |        2.98        | 0.00e+00 | 1.57e+06 |        0%        |    23.69%     |
| 4096  |  768  | N/A |  1   |   [[4096, 768]]    | bf16  |       5.2        |       5.23        |       5.26       |        3.97        | 0.00e+00 | 3.15e+06 |        0%        |    30.25%     |
| 8192  |  768  | N/A |  1   |   [[8192, 768]]    | bf16  |       8.93       |       8.96        |       8.99       |        5.93        | 0.00e+00 | 6.29e+06 |        0%        |    35.23%     |
| 16384 |  768  | N/A |  1   |   [[16384, 768]]   | bf16  |      16.34       |       16.38       |      16.42       |        9.86        | 0.00e+00 | 1.26e+07 |        0%        |     38.5%     |
| 32768 |  768  | N/A |  1   |   [[32768, 768]]   | bf16  |      31.14       |       31.17       |       31.2       |       17.73        | 0.00e+00 | 2.52e+07 |        0%        |    40.41%     |
|   1   | 2048  | N/A |  1   |    [[1, 2048]]     | bf16  |       1.4        |       1.46        |       1.53       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.07%     |
|   2   | 2048  | N/A |  1   |    [[2, 2048]]     | bf16  |       1.4        |       1.43        |       1.46       |        2.0         | 0.00e+00 | 4.10e+03 |        0%        |     0.15%     |
|   4   | 2048  | N/A |  1   |    [[4, 2048]]     | bf16  |       1.44       |       1.47        |       1.51       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.28%     |
|   8   | 2048  | N/A |  1   |    [[8, 2048]]     | bf16  |       1.45       |       1.47        |       1.5        |        2.01        | 0.00e+00 | 1.64e+04 |        0%        |     0.56%     |
|  16   | 2048  | N/A |  1   |    [[16, 2048]]    | bf16  |       1.47       |        1.5        |       1.52       |        2.02        | 0.00e+00 | 3.28e+04 |        0%        |     1.11%     |
|  32   | 2048  | N/A |  1   |    [[32, 2048]]    | bf16  |       1.48       |        1.5        |       1.53       |        2.04        | 0.00e+00 | 6.55e+04 |        0%        |     2.21%     |
|  64   | 2048  | N/A |  1   |    [[64, 2048]]    | bf16  |       1.74       |       1.78        |       1.81       |        2.08        | 0.00e+00 | 1.31e+05 |        0%        |     3.77%     |
|  128  | 2048  | N/A |  1   |   [[128, 2048]]    | bf16  |       1.94       |       1.97        |       2.0        |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |     6.76%     |
|  256  | 2048  | N/A |  1   |   [[256, 2048]]    | bf16  |       2.26       |       2.28        |       2.31       |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |     11.6%     |
|  512  | 2048  | N/A |  1   |   [[512, 2048]]    | bf16  |       2.88       |       2.91        |       2.94       |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |     18.2%     |
| 1024  | 2048  | N/A |  1   |   [[1024, 2048]]   | bf16  |       4.15       |       4.19        |       4.23       |        3.31        | 0.00e+00 | 2.10e+06 |        0%        |    25.27%     |
| 2048  | 2048  | N/A |  1   |   [[2048, 2048]]   | bf16  |       6.64       |       6.66        |       6.68       |        4.62        | 0.00e+00 | 4.19e+06 |        0%        |    31.58%     |
| 4096  | 2048  | N/A |  1   |   [[4096, 2048]]   | bf16  |      11.39       |       11.44       |      11.49       |        7.24        | 0.00e+00 | 8.39e+06 |        0%        |    36.82%     |
| 8192  | 2048  | N/A |  1   |   [[8192, 2048]]   | bf16  |      21.29       |       21.31       |      21.34       |       12.49        | 0.00e+00 | 1.68e+07 |        0%        |     39.4%     |
| 16384 | 2048  | N/A |  1   |  [[16384, 2048]]   | bf16  |       41.0       |       41.04       |      41.07       |       22.97        | 0.00e+00 | 3.36e+07 |        0%        |    40.92%     |
| 32768 | 2048  | N/A |  1   |  [[32768, 2048]]   | bf16  |      80.44       |       80.49       |      80.54       |       43.94        | 0.00e+00 | 6.71e+07 |        0%        |    41.71%     |
|   1   | 3072  | N/A |  1   |    [[1, 3072]]     | bf16  |       1.41       |       1.45        |       1.49       |        2.0         | 0.00e+00 | 3.07e+03 |        0%        |     0.11%     |
|   2   | 3072  | N/A |  1   |    [[2, 3072]]     | bf16  |       1.43       |       1.46        |       1.49       |        2.0         | 0.00e+00 | 6.14e+03 |        0%        |     0.21%     |
|   4   | 3072  | N/A |  1   |    [[4, 3072]]     | bf16  |       1.44       |       1.47        |       1.5        |        2.01        | 0.00e+00 | 1.23e+04 |        0%        |     0.43%     |
|   8   | 3072  | N/A |  1   |    [[8, 3072]]     | bf16  |       1.47       |        1.5        |       1.54       |        2.02        | 0.00e+00 | 2.46e+04 |        0%        |     0.84%     |
|  16   | 3072  | N/A |  1   |    [[16, 3072]]    | bf16  |       1.47       |        1.5        |       1.52       |        2.03        | 0.00e+00 | 4.92e+04 |        0%        |     1.67%     |
|  32   | 3072  | N/A |  1   |    [[32, 3072]]    | bf16  |       1.52       |       1.55        |       1.57       |        2.06        | 0.00e+00 | 9.83e+04 |        0%        |     3.23%     |
|  64   | 3072  | N/A |  1   |    [[64, 3072]]    | bf16  |       1.85       |       1.87        |       1.89       |        2.12        | 0.00e+00 | 1.97e+05 |        0%        |     5.31%     |
|  128  | 3072  | N/A |  1   |   [[128, 3072]]    | bf16  |       1.9        |       1.92        |       1.94       |        2.25        | 0.00e+00 | 3.93e+05 |        0%        |    10.35%     |
|  256  | 3072  | N/A |  1   |   [[256, 3072]]    | bf16  |       2.37       |        2.4        |       2.44       |        2.49        | 0.00e+00 | 7.86e+05 |        0%        |    16.59%     |
|  512  | 3072  | N/A |  1   |   [[512, 3072]]    | bf16  |       3.3        |       3.34        |       3.38       |        2.98        | 0.00e+00 | 1.57e+06 |        0%        |    23.83%     |
| 1024  | 3072  | N/A |  1   |   [[1024, 3072]]   | bf16  |       5.22       |       5.25        |       5.28       |        3.97        | 0.00e+00 | 3.15e+06 |        0%        |    30.13%     |
| 2048  | 3072  | N/A |  1   |   [[2048, 3072]]   | bf16  |       8.92       |       8.96        |       8.99       |        5.93        | 0.00e+00 | 6.29e+06 |        0%        |    35.27%     |
| 4096  | 3072  | N/A |  1   |   [[4096, 3072]]   | bf16  |      16.34       |       16.37       |      16.39       |        9.86        | 0.00e+00 | 1.26e+07 |        0%        |     38.5%     |
| 8192  | 3072  | N/A |  1   |   [[8192, 3072]]   | bf16  |      31.16       |       31.18       |      31.21       |       17.73        | 0.00e+00 | 2.52e+07 |        0%        |    40.38%     |
| 16384 | 3072  | N/A |  1   |  [[16384, 3072]]   | bf16  |      60.49       |       60.6        |      60.78       |       33.46        | 0.00e+00 | 5.03e+07 |        0%        |     41.6%     |
| 32768 | 3072  | N/A |  1   |  [[32768, 3072]]   | bf16  |      119.85      |      119.89       |      119.93      |       64.91        | 0.00e+00 | 1.01e+08 |        0%        |     42.0%     |
|   1   | 4096  | N/A |  1   |    [[1, 4096]]     | bf16  |       1.42       |       1.47        |       1.52       |        2.0         | 0.00e+00 | 4.10e+03 |        0%        |     0.14%     |
|   2   | 4096  | N/A |  1   |    [[2, 4096]]     | bf16  |       1.45       |       1.47        |       1.48       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.28%     |
|   4   | 4096  | N/A |  1   |    [[4, 4096]]     | bf16  |       1.45       |       1.47        |       1.5        |        2.01        | 0.00e+00 | 1.64e+04 |        0%        |     0.56%     |
|   8   | 4096  | N/A |  1   |    [[8, 4096]]     | bf16  |       1.46       |        1.5        |       1.53       |        2.02        | 0.00e+00 | 3.28e+04 |        0%        |     1.12%     |
|  16   | 4096  | N/A |  1   |    [[16, 4096]]    | bf16  |       1.5        |       1.51        |       1.53       |        2.04        | 0.00e+00 | 6.55e+04 |        0%        |     2.18%     |
|  32   | 4096  | N/A |  1   |    [[32, 4096]]    | bf16  |       1.59       |       1.62        |       1.65       |        2.08        | 0.00e+00 | 1.31e+05 |        0%        |     4.12%     |
|  64   | 4096  | N/A |  1   |    [[64, 4096]]    | bf16  |       1.92       |       1.95        |       1.99       |        2.16        | 0.00e+00 | 2.62e+05 |        0%        |     6.83%     |
|  128  | 4096  | N/A |  1   |   [[128, 4096]]    | bf16  |       2.07       |       2.09        |       2.13       |        2.33        | 0.00e+00 | 5.24e+05 |        0%        |    12.66%     |
|  256  | 4096  | N/A |  1   |   [[256, 4096]]    | bf16  |       2.69       |       2.71        |       2.72       |        2.66        | 0.00e+00 | 1.05e+06 |        0%        |    19.49%     |
|  512  | 4096  | N/A |  1   |   [[512, 4096]]    | bf16  |       3.96       |       3.98        |       4.01       |        3.31        | 0.00e+00 | 2.10e+06 |        0%        |    26.48%     |
| 1024  | 4096  | N/A |  1   |   [[1024, 4096]]   | bf16  |       6.46       |       6.48        |       6.51       |        4.62        | 0.00e+00 | 4.19e+06 |        0%        |    32.46%     |
| 2048  | 4096  | N/A |  1   |   [[2048, 4096]]   | bf16  |       11.4       |       11.43       |      11.47       |        7.24        | 0.00e+00 | 8.39e+06 |        0%        |    36.79%     |
| 4096  | 4096  | N/A |  1   |   [[4096, 4096]]   | bf16  |      21.27       |       21.3        |      21.34       |       12.49        | 0.00e+00 | 1.68e+07 |        0%        |    39.44%     |
| 8192  | 4096  | N/A |  1   |   [[8192, 4096]]   | bf16  |      41.02       |       41.06       |      41.11       |       22.97        | 0.00e+00 | 3.36e+07 |        0%        |     40.9%     |
| 16384 | 4096  | N/A |  1   |  [[16384, 4096]]   | bf16  |      80.44       |       80.47       |       80.5       |       43.94        | 0.00e+00 | 6.71e+07 |        0%        |    41.71%     |
| 32768 | 4096  | N/A |  1   |  [[32768, 4096]]   | bf16  |      159.3       |      159.32       |      159.35      |       85.89        | 0.00e+00 | 1.34e+08 |        0%        |    42.13%     |
|   1   | 5120  | N/A |  1   |    [[1, 5120]]     | bf16  |       1.43       |       1.45        |       1.48       |        2.0         | 0.00e+00 | 5.12e+03 |        0%        |     0.18%     |
|   2   | 5120  | N/A |  1   |    [[2, 5120]]     | bf16  |       1.46       |       1.48        |       1.51       |        2.01        | 0.00e+00 | 1.02e+04 |        0%        |     0.35%     |
|   4   | 5120  | N/A |  1   |    [[4, 5120]]     | bf16  |       1.45       |       1.49        |       1.52       |        2.01        | 0.00e+00 | 2.05e+04 |        0%        |     0.71%     |
|   8   | 5120  | N/A |  1   |    [[8, 5120]]     | bf16  |       1.47       |        1.5        |       1.53       |        2.03        | 0.00e+00 | 4.10e+04 |        0%        |     1.39%     |
|  16   | 5120  | N/A |  1   |    [[16, 5120]]    | bf16  |       1.52       |       1.54        |       1.56       |        2.05        | 0.00e+00 | 8.19e+04 |        0%        |     2.69%     |
|  32   | 5120  | N/A |  1   |    [[32, 5120]]    | bf16  |       1.61       |       1.64        |       1.68       |        2.1         | 0.00e+00 | 1.64e+05 |        0%        |     5.09%     |
|  64   | 5120  | N/A |  1   |    [[64, 5120]]    | bf16  |       1.79       |       1.83        |       1.86       |        2.2         | 0.00e+00 | 3.28e+05 |        0%        |     9.15%     |
|  128  | 5120  | N/A |  1   |   [[128, 5120]]    | bf16  |       2.4        |       2.44        |       2.48       |        2.41        | 0.00e+00 | 6.55e+05 |        0%        |    13.65%     |
|  256  | 5120  | N/A |  1   |   [[256, 5120]]    | bf16  |       3.18       |       3.21        |       3.24       |        2.82        | 0.00e+00 | 1.31e+06 |        0%        |    20.61%     |
|  512  | 5120  | N/A |  1   |   [[512, 5120]]    | bf16  |       4.76       |        4.8        |       4.86       |        3.64        | 0.00e+00 | 2.62e+06 |        0%        |    27.54%     |
| 1024  | 5120  | N/A |  1   |   [[1024, 5120]]   | bf16  |       7.9        |       7.91        |       7.92       |        5.28        | 0.00e+00 | 5.24e+06 |        0%        |    33.18%     |
| 2048  | 5120  | N/A |  1   |   [[2048, 5120]]   | bf16  |      14.06       |       14.1        |      14.15       |        8.55        | 0.00e+00 | 1.05e+07 |        0%        |    37.29%     |
| 4096  | 5120  | N/A |  1   |   [[4096, 5120]]   | bf16  |      26.59       |       26.64       |      26.68       |       15.11        | 0.00e+00 | 2.10e+07 |        0%        |    39.43%     |
| 8192  | 5120  | N/A |  1   |   [[8192, 5120]]   | bf16  |      50.87       |       50.91       |      50.95       |       28.21        | 0.00e+00 | 4.19e+07 |        0%        |    41.23%     |
| 16384 | 5120  | N/A |  1   |  [[16384, 5120]]   | bf16  |      100.14      |      100.17       |      100.2       |       54.43        | 0.00e+00 | 8.39e+07 |        0%        |    41.88%     |
| 32768 | 5120  | N/A |  1   |  [[32768, 5120]]   | bf16  |      198.63      |      198.67       |      198.72      |       106.86       | 0.00e+00 | 1.68e+08 |        0%        |    42.23%     |
|   1   | 6144  | N/A |  1   |    [[1, 6144]]     | bf16  |       1.45       |       1.47        |       1.49       |        2.0         | 0.00e+00 | 6.14e+03 |        0%        |     0.21%     |
|   2   | 6144  | N/A |  1   |    [[2, 6144]]     | bf16  |       1.43       |       1.45        |       1.47       |        2.01        | 0.00e+00 | 1.23e+04 |        0%        |     0.43%     |
|   4   | 6144  | N/A |  1   |    [[4, 6144]]     | bf16  |       1.45       |       1.49        |       1.53       |        2.02        | 0.00e+00 | 2.46e+04 |        0%        |     0.85%     |
|   8   | 6144  | N/A |  1   |    [[8, 6144]]     | bf16  |       1.48       |        1.5        |       1.53       |        2.03        | 0.00e+00 | 4.92e+04 |        0%        |     1.66%     |
|  16   | 6144  | N/A |  1   |    [[16, 6144]]    | bf16  |       1.52       |       1.54        |       1.56       |        2.06        | 0.00e+00 | 9.83e+04 |        0%        |     3.23%     |
|  32   | 6144  | N/A |  1   |    [[32, 6144]]    | bf16  |       1.67       |       1.69        |       1.71       |        2.12        | 0.00e+00 | 1.97e+05 |        0%        |     5.89%     |
|  64   | 6144  | N/A |  1   |    [[64, 6144]]    | bf16  |       2.07       |        2.1        |       2.13       |        2.25        | 0.00e+00 | 3.93e+05 |        0%        |     9.5%      |
|  128  | 6144  | N/A |  1   |   [[128, 6144]]    | bf16  |       2.55       |       2.57        |       2.59       |        2.49        | 0.00e+00 | 7.86e+05 |        0%        |    15.42%     |
|  256  | 6144  | N/A |  1   |   [[256, 6144]]    | bf16  |       3.49       |       3.51        |       3.53       |        2.98        | 0.00e+00 | 1.57e+06 |        0%        |    22.53%     |
