Test Case: B200_aten-exponential_
|   M   |   N   |  self__tensor  | lambd | dtype | duration_mean(us) | duration_min(us) | duration_max(us) |
|   2   |  32   |    [2, 32]     |   1   | fp16  |       93.07       |      92.34       |      93.62       |
|   8   |  32   |    [8, 32]     |   1   | fp16  |       92.81       |      92.35       |      93.22       |
|  128  |  32   |   [128, 32]    |   1   | fp16  |       93.2        |      92.55       |      93.94       |
| 1024  |  32   |   [1024, 32]   |   1   | fp16  |       92.96       |      92.17       |      93.75       |
| 4096  |  32   |   [4096, 32]   |   1   | fp16  |       92.94       |      92.34       |      93.62       |
| 16384 |  32   |  [16384, 32]   |   1   | fp16  |       92.64       |      92.01       |      93.12       |
|   1   |  128  |    [1, 128]    |   1   | fp16  |       92.71       |      91.69       |      93.75       |
|   2   |  128  |    [2, 128]    |   1   | fp16  |       92.8        |      92.04       |      93.51       |
|   8   |  128  |    [8, 128]    |   1   | fp16  |       92.72       |      91.63       |      93.21       |
|  128  |  128  |   [128, 128]   |   1   | fp16  |       92.56       |      91.99       |      93.17       |
| 1024  |  128  |  [1024, 128]   |   1   | fp16  |       92.53       |      91.65       |      92.93       |
| 4096  |  128  |  [4096, 128]   |   1   | fp16  |       92.73       |      92.27       |      93.05       |
| 16384 |  128  |  [16384, 128]  |   1   | fp16  |       92.73       |      92.54       |      92.99       |
|   1   | 1024  |   [1, 1024]    |   1   | fp16  |       93.15       |      92.47       |      93.87       |
|   2   | 1024  |   [2, 1024]    |   1   | fp16  |       93.31       |      92.77       |      93.75       |
|   8   | 1024  |   [8, 1024]    |   1   | fp16  |       93.31       |      92.67       |      93.86       |
|  128  | 1024  |  [128, 1024]   |   1   | fp16  |       93.29       |      92.53       |      94.32       |
| 1024  | 1024  |  [1024, 1024]  |   1   | fp16  |       92.98       |      91.88       |      93.68       |
| 4096  | 1024  |  [4096, 1024]  |   1   | fp16  |       93.43       |      93.06       |      94.04       |
| 16384 | 1024  | [16384, 1024]  |   1   | fp16  |       93.57       |      92.95       |      94.21       |
|   1   | 8192  |   [1, 8192]    |   1   | fp16  |       93.43       |      92.95       |      94.05       |
|   2   | 8192  |   [2, 8192]    |   1   | fp16  |       93.48       |      93.07       |       93.8       |
|   8   | 8192  |   [8, 8192]    |   1   | fp16  |       93.24       |      92.12       |      94.15       |
|  128  | 8192  |  [128, 8192]   |   1   | fp16  |       93.19       |      92.13       |      93.76       |
| 1024  | 8192  |  [1024, 8192]  |   1   | fp16  |       92.92       |      92.07       |      93.83       |
| 4096  | 8192  |  [4096, 8192]  |   1   | fp16  |       93.23       |      91.96       |      94.25       |
| 16384 | 8192  | [16384, 8192]  |   1   | fp16  |      216.56       |      216.42      |      216.67      |
|   1   | 16384 |   [1, 16384]   |   1   | fp16  |       92.13       |      90.84       |      93.48       |
|   2   | 16384 |   [2, 16384]   |   1   | fp16  |       92.7        |      92.08       |       93.4       |
|   8   | 16384 |   [8, 16384]   |   1   | fp16  |       92.64       |      91.55       |      93.02       |
|  128  | 16384 |  [128, 16384]  |   1   | fp16  |       92.56       |      91.81       |      93.66       |
| 1024  | 16384 | [1024, 16384]  |   1   | fp16  |       93.06       |      92.33       |      93.74       |
| 4096  | 16384 | [4096, 16384]  |   1   | fp16  |      113.31       |      112.79      |      113.69      |
| 16384 | 16384 | [16384, 16384] |   1   | fp16  |       423.9       |      423.24      |      425.08      |
