Test Case: B200_aten-copy_
|   M    |   N   |     _tensor     |    _tensor_1    | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
| 16384  | 16384 | [16384, 16384]  | [16384, 16384]  | bf16  |      178.99       |      178.66      |      179.17      |       23.07        |
| 131072 | 16384 | [131072, 16384] | [131072, 16384] | bf16  |      1352.75      |     1349.88      |     1353.35      |        7.27        |
|   1    |  32   |     [1, 32]     |     [1, 32]     | fp16  |       91.94       |      91.36       |      92.96       |       12.53        |
|   2    |  32   |     [2, 32]     |     [2, 32]     | fp16  |       92.09       |      91.28       |      92.87       |       23.06        |
|   8    |  32   |     [8, 32]     |     [8, 32]     | fp16  |       91.5        |      90.31       |      92.43       |       44.12        |
|  128   |  32   |    [128, 32]    |    [128, 32]    | fp16  |       91.83       |       91.3       |      92.55       |       12.53        |
|  1024  |  32   |   [1024, 32]    |   [1024, 32]    | fp16  |       92.54       |      91.18       |       93.3       |       23.06        |
|  4096  |  32   |   [4096, 32]    |   [4096, 32]    | fp16  |       92.98       |      92.12       |      93.67       |       44.11        |
| 16384  |  32   |   [16384, 32]   |   [16384, 32]   | fp16  |       93.59       |      93.18       |       94.1       |       86.23        |
| 131072 |  32   |  [131072, 32]   |  [131072, 32]   | fp16  |       93.77       |      93.13       |      94.16       |       23.06        |
|   1    |  128  |    [1, 128]     |    [1, 128]     | fp16  |       92.43       |      91.44       |      93.53       |       44.11        |
|   2    |  128  |    [2, 128]     |    [2, 128]     | fp16  |       92.61       |      91.97       |      93.36       |       86.22        |
|   8    |  128  |    [8, 128]     |    [8, 128]     | fp16  |       93.3        |      92.62       |       93.9       |       170.44       |
|  128   |  128  |   [128, 128]    |   [128, 128]    | fp16  |       93.52       |      92.65       |       94.4       |       44.11        |
|  1024  |  128  |   [1024, 128]   |   [1024, 128]   | fp16  |       92.18       |      90.92       |       93.2       |       86.22        |
|  4096  |  128  |   [4096, 128]   |   [4096, 128]   | fp16  |       92.62       |      91.65       |      93.66       |       170.44       |
| 16384  |  128  |  [16384, 128]   |  [16384, 128]   | fp16  |       92.9        |      92.41       |      93.62       |       338.87       |
| 131072 |  128  |  [131072, 128]  |  [131072, 128]  | fp16  |       93.13       |       91.9       |      93.73       |       86.22        |
|   1    | 1024  |    [1, 1024]    |    [1, 1024]    | fp16  |       92.69       |      91.49       |      93.74       |       170.43       |
|   2    | 1024  |    [2, 1024]    |    [2, 1024]    | fp16  |       93.1        |      92.24       |      94.12       |       338.86       |
|   8    | 1024  |    [8, 1024]    |    [8, 1024]    | fp16  |       93.16       |      92.16       |       93.7       |       675.73       |
|  128   | 1024  |   [128, 1024]   |   [128, 1024]   | fp16  |       93.15       |      92.52       |      93.64       |        2.33        |
|  1024  | 1024  |  [1024, 1024]   |  [1024, 1024]   | fp16  |       93.39       |      92.92       |      94.26       |        2.66        |
|  4096  | 1024  |  [4096, 1024]   |  [4096, 1024]   | fp16  |       93.54       |      92.41       |      94.64       |        3.31        |
| 16384  | 1024  |  [16384, 1024]  |  [16384, 1024]  | fp16  |       93.3        |      93.05       |      93.69       |        4.63        |
| 131072 | 1024  | [131072, 1024]  | [131072, 1024]  | fp16  |       94.94       |      94.14       |      95.74       |        2.66        |
|   1    | 8192  |    [1, 8192]    |    [1, 8192]    | fp16  |       92.52       |      90.96       |      93.45       |        3.31        |
|   2    | 8192  |    [2, 8192]    |    [2, 8192]    | fp16  |       92.49       |      91.32       |       93.7       |        4.63        |
|   8    | 8192  |    [8, 8192]    |    [8, 8192]    | fp16  |       92.16       |      90.98       |      93.43       |        7.25        |
|  128   | 8192  |   [128, 8192]   |   [128, 8192]   | fp16  |       92.66       |      92.03       |      93.54       |        3.31        |
|  1024  | 8192  |  [1024, 8192]   |  [1024, 8192]   | fp16  |       92.55       |      91.78       |      93.32       |        4.62        |
|  4096  | 8192  |  [4096, 8192]   |  [4096, 8192]   | fp16  |       92.39       |      91.31       |      93.37       |        7.25        |
| 16384  | 8192  |  [16384, 8192]  |  [16384, 8192]  | fp16  |       94.36       |      93.15       |       95.0       |       12.49        |
| 131072 | 8192  | [131072, 8192]  | [131072, 8192]  | fp16  |      681.97       |      679.17      |      682.58      |        4.62        |
|   1    | 16384 |   [1, 16384]    |   [1, 16384]    | fp16  |       91.63       |      91.16       |      92.86       |        7.24        |
|   2    | 16384 |   [2, 16384]    |   [2, 16384]    | fp16  |       91.25       |       90.5       |      91.73       |       12.49        |
|   8    | 16384 |   [8, 16384]    |   [8, 16384]    | fp16  |       90.75       |      90.04       |      91.34       |       22.98        |
|  128   | 16384 |  [128, 16384]   |  [128, 16384]   | fp16  |       91.92       |      90.92       |      92.68       |        7.24        |
|  1024  | 16384 |  [1024, 16384]  |  [1024, 16384]  | fp16  |       91.46       |      90.37       |       92.2       |       12.49        |
|  4096  | 16384 |  [4096, 16384]  |  [4096, 16384]  | fp16  |       92.55       |      91.81       |      93.32       |       22.98        |
| 16384  | 16384 | [16384, 16384]  | [16384, 16384]  | fp16  |      178.85       |      178.64      |      179.19      |       43.95        |
| 131072 | 16384 | [131072, 16384] | [131072, 16384] | fp16  |      1352.86      |     1349.79      |     1353.52      |       12.49        |
