Test Case: B200_aten-slice
|  M   |  N   | start | end |   _tensor    | step | dim | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
|  8   | 8192 |   0   |  8  |  [8, 8192]   |  1   |  0  | bf16  |       87.73       |      87.01       |      88.35       |        7.27        |
| 128  | 8192 |   0   |  8  | [128, 8192]  |  1   |  0  | bf16  |       87.21       |      85.73       |      88.76       |       12.53        |
| 1024 | 8192 |   0   |  8  | [1024, 8192] |  1   |  0  | bf16  |       87.6        |       86.4       |      88.24       |       23.07        |
| 4096 | 8192 |   0   |  8  | [4096, 8192] |  1   |  0  | bf16  |       87.63       |      86.52       |      88.34       |        7.27        |
|  1   |  32  |   1   |  8  |   [1, 32]    |  1   |  0  | bf16  |       87.81       |      86.74       |      89.24       |       12.53        |
|  2   |  32  |   1   |  8  |   [2, 32]    |  1   |  0  | bf16  |       87.89       |      86.97       |      88.67       |       23.06        |
|  8   |  32  |   1   |  8  |   [8, 32]    |  1   |  0  | bf16  |       87.67       |      86.84       |      88.19       |       44.12        |
| 128  |  32  |   1   |  8  |  [128, 32]   |  1   |  0  | bf16  |       87.0        |       86.5       |       87.6       |       12.53        |
| 1024 |  32  |   1   |  8  |  [1024, 32]  |  1   |  0  | bf16  |       87.84       |      87.42       |      88.32       |       23.06        |
| 4096 |  32  |   1   |  8  |  [4096, 32]  |  1   |  0  | bf16  |       87.72       |      87.38       |      88.34       |       44.11        |
|  1   | 128  |   1   |  8  |   [1, 128]   |  1   |  0  | bf16  |       87.32       |      87.01       |      87.72       |       86.23        |
|  2   | 128  |   1   |  8  |   [2, 128]   |  1   |  0  | bf16  |       88.13       |      87.56       |      88.68       |       23.06        |
|  8   | 128  |   1   |  8  |   [8, 128]   |  1   |  0  | bf16  |       87.93       |      87.41       |      88.43       |       44.11        |
| 128  | 128  |   1   |  8  |  [128, 128]  |  1   |  0  | bf16  |       88.09       |      87.25       |      88.71       |       86.22        |
| 1024 | 128  |   1   |  8  | [1024, 128]  |  1   |  0  | bf16  |       87.82       |      87.44       |       88.6       |       170.44       |
| 4096 | 128  |   1   |  8  | [4096, 128]  |  1   |  0  | bf16  |       87.48       |      87.25       |      87.79       |       44.11        |
|  1   | 1024 |   1   |  8  |  [1, 1024]   |  1   |  0  | bf16  |       87.79       |      87.14       |      88.34       |       86.22        |
|  2   | 1024 |   1   |  8  |  [2, 1024]   |  1   |  0  | bf16  |       87.86       |      86.97       |      88.53       |       170.44       |
|  8   | 1024 |   1   |  8  |  [8, 1024]   |  1   |  0  | bf16  |       88.07       |      87.65       |      88.75       |       338.87       |
| 128  | 1024 |   1   |  8  | [128, 1024]  |  1   |  0  | bf16  |       88.13       |      87.64       |      88.64       |       86.22        |
| 1024 | 1024 |   1   |  8  | [1024, 1024] |  1   |  0  | bf16  |       88.07       |      87.03       |      89.28       |       170.43       |
| 4096 | 1024 |   1   |  8  | [4096, 1024] |  1   |  0  | bf16  |       87.39       |      86.92       |      87.74       |       338.86       |
|  1   | 8192 |   1   |  8  |  [1, 8192]   |  1   |  0  | bf16  |       87.73       |      87.36       |      88.31       |       675.73       |
|  2   | 8192 |   1   |  8  |  [2, 8192]   |  1   |  0  | bf16  |       88.04       |       87.5       |      88.37       |        2.33        |
|  8   | 8192 |   1   |  8  |  [8, 8192]   |  1   |  0  | bf16  |       87.28       |      86.62       |      88.21       |        2.66        |
| 128  | 8192 |   1   |  8  | [128, 8192]  |  1   |  0  | bf16  |       87.4        |      86.41       |      88.03       |        3.31        |
| 1024 | 8192 |   1   |  8  | [1024, 8192] |  1   |  0  | bf16  |       87.99       |      86.96       |      88.48       |        4.63        |
| 4096 | 8192 |   1   |  8  | [4096, 8192] |  1   |  0  | bf16  |       87.95       |      87.02       |      88.59       |        2.66        |
|  1   |  32  |   4   |  8  |   [1, 32]    |  1   |  0  | bf16  |       88.19       |      87.35       |       89.2       |        3.31        |
|  2   |  32  |   4   |  8  |   [2, 32]    |  1   |  0  | bf16  |       88.21       |      87.75       |      88.67       |        4.63        |
|  8   |  32  |   4   |  8  |   [8, 32]    |  1   |  0  | bf16  |       88.44       |       87.6       |      88.91       |        7.25        |
| 128  |  32  |   4   |  8  |  [128, 32]   |  1   |  0  | bf16  |       88.24       |      87.05       |      89.25       |        3.31        |
| 1024 |  32  |   4   |  8  |  [1024, 32]  |  1   |  0  | bf16  |       87.61       |      87.15       |      88.26       |        4.62        |
| 4096 |  32  |   4   |  8  |  [4096, 32]  |  1   |  0  | bf16  |       87.98       |      87.32       |      88.46       |        7.25        |
|  1   | 128  |   4   |  8  |   [1, 128]   |  1   |  0  | bf16  |       88.37       |      87.52       |      88.82       |       12.49        |
|  2   | 128  |   4   |  8  |   [2, 128]   |  1   |  0  | bf16  |       87.92       |      87.05       |      88.49       |        4.62        |
|  8   | 128  |   4   |  8  |   [8, 128]   |  1   |  0  | bf16  |       88.35       |       87.3       |      89.08       |        7.24        |
| 128  | 128  |   4   |  8  |  [128, 128]  |  1   |  0  | bf16  |       87.88       |       87.2       |      88.75       |       12.49        |
| 1024 | 128  |   4   |  8  | [1024, 128]  |  1   |  0  | bf16  |       87.79       |      86.54       |      89.51       |       22.98        |
| 4096 | 128  |   4   |  8  | [4096, 128]  |  1   |  0  | bf16  |       87.77       |       87.0       |       88.5       |        7.24        |
|  1   | 1024 |   4   |  8  |  [1, 1024]   |  1   |  0  | bf16  |       87.99       |      87.53       |      88.69       |       12.49        |
|  2   | 1024 |   4   |  8  |  [2, 1024]   |  1   |  0  | bf16  |       88.01       |      87.22       |      88.88       |       22.98        |
|  8   | 1024 |   4   |  8  |  [8, 1024]   |  1   |  0  | bf16  |       88.56       |      88.18       |      88.89       |       43.95        |
| 128  | 1024 |   4   |  8  | [128, 1024]  |  1   |  0  | bf16  |       88.38       |      87.46       |      89.16       |       12.49        |
| 1024 | 1024 |   4   |  8  | [1024, 1024] |  1   |  0  | bf16  |       88.48       |      88.16       |      88.99       |       22.97        |
| 4096 | 1024 |   4   |  8  | [4096, 1024] |  1   |  0  | bf16  |       88.18       |      87.72       |      88.82       |       43.95        |
|  1   | 8192 |   4   |  8  |  [1, 8192]   |  1   |  0  | bf16  |       88.12       |      87.49       |      88.63       |       85.89        |
|  2   | 8192 |   4   |  8  |  [2, 8192]   |  1   |  0  | bf16  |       87.81       |      87.16       |      89.06       |        3.31        |
|  8   | 8192 |   4   |  8  |  [8, 8192]   |  1   |  0  | bf16  |       87.96       |      87.42       |      88.68       |        4.62        |
| 128  | 8192 |   4   |  8  | [128, 8192]  |  1   |  0  | bf16  |       87.63       |      86.78       |      88.44       |        7.25        |
| 1024 | 8192 |   4   |  8  | [1024, 8192] |  1   |  0  | bf16  |       88.01       |      87.26       |      88.45       |       12.49        |
| 4096 | 8192 |   4   |  8  | [4096, 8192] |  1   |  0  | bf16  |       88.46       |      86.97       |      89.18       |        4.62        |
|  1   |  32  |   0   | 16  |   [1, 32]    |  1   |  0  | bf16  |       87.46       |      86.75       |      88.46       |        7.24        |
|  2   |  32  |   0   | 16  |   [2, 32]    |  1   |  0  | bf16  |       88.24       |      87.45       |      88.83       |       12.49        |
|  8   |  32  |   0   | 16  |   [8, 32]    |  1   |  0  | bf16  |       88.27       |      87.55       |      89.12       |       22.98        |
| 128  |  32  |   0   | 16  |  [128, 32]   |  1   |  0  | bf16  |       88.53       |      88.14       |      89.09       |        7.24        |
| 1024 |  32  |   0   | 16  |  [1024, 32]  |  1   |  0  | bf16  |       88.22       |      87.51       |      88.98       |       12.49        |
| 4096 |  32  |   0   | 16  |  [4096, 32]  |  1   |  0  | bf16  |       88.68       |      87.94       |      89.13       |       22.98        |
|  1   | 128  |   0   | 16  |   [1, 128]   |  1   |  0  | bf16  |       88.24       |      87.27       |      88.85       |       43.95        |
|  2   | 128  |   0   | 16  |   [2, 128]   |  1   |  0  | bf16  |       88.47       |       87.8       |      88.79       |       12.49        |
|  8   | 128  |   0   | 16  |   [8, 128]   |  1   |  0  | bf16  |       88.22       |      87.43       |      89.06       |       22.97        |
| 128  | 128  |   0   | 16  |  [128, 128]  |  1   |  0  | bf16  |       88.68       |      88.35       |      88.96       |       43.95        |
| 1024 | 128  |   0   | 16  | [1024, 128]  |  1   |  0  | bf16  |       88.4        |       87.7       |       88.8       |       85.89        |
| 4096 | 128  |   0   | 16  | [4096, 128]  |  1   |  0  | bf16  |       87.59       |      86.73       |       88.2       |       22.97        |
|  1   | 1024 |   0   | 16  |  [1, 1024]   |  1   |  0  | bf16  |       87.97       |      86.88       |      88.64       |       43.94        |
|  2   | 1024 |   0   | 16  |  [2, 1024]   |  1   |  0  | bf16  |       87.62       |      86.58       |      88.14       |       85.89        |
|  8   | 1024 |   0   | 16  |  [8, 1024]   |  1   |  0  | bf16  |       87.69       |      87.24       |      88.04       |       169.78       |
| 128  | 1024 |   0   | 16  | [128, 1024]  |  1   |  0  | bf16  |       88.07       |      87.56       |      88.63       |       43.94        |
| 1024 | 1024 |   0   | 16  | [1024, 1024] |  1   |  0  | bf16  |       87.59       |      86.48       |      88.38       |       85.89        |
| 4096 | 1024 |   0   | 16  | [4096, 1024] |  1   |  0  | bf16  |       88.75       |      87.46       |      91.61       |       169.78       |
|  1   | 8192 |   0   | 16  |  [1, 8192]   |  1   |  0  | bf16  |       88.28       |      87.66       |       88.9       |       337.55       |
|  2   | 8192 |   0   | 16  |  [2, 8192]   |  1   |  0  | bf16  |       87.98       |      87.45       |      88.83       |        2.49        |
|  8   | 8192 |   0   | 16  |  [8, 8192]   |  1   |  0  | bf16  |       87.55       |      86.97       |      88.17       |        2.99        |
| 128  | 8192 |   0   | 16  | [128, 8192]  |  1   |  0  | bf16  |       87.49       |      86.64       |      88.59       |        3.97        |
| 1024 | 8192 |   0   | 16  | [1024, 8192] |  1   |  0  | bf16  |       87.9        |      87.39       |      88.76       |        5.94        |
| 4096 | 8192 |   0   | 16  | [4096, 8192] |  1   |  0  | bf16  |       89.07       |      87.92       |      92.38       |        2.98        |
|  1   |  32  |   1   | 16  |   [1, 32]    |  1   |  0  | bf16  |       88.03       |      87.38       |      88.44       |        3.97        |
|  2   |  32  |   1   | 16  |   [2, 32]    |  1   |  0  | bf16  |       87.8        |      87.45       |      88.14       |        5.94        |
|  8   |  32  |   1   | 16  |   [8, 32]    |  1   |  0  | bf16  |       87.32       |      86.89       |      87.75       |        9.88        |
| 128  |  32  |   1   | 16  |  [128, 32]   |  1   |  0  | bf16  |       88.35       |      87.36       |      88.74       |        3.97        |
| 1024 |  32  |   1   | 16  |  [1024, 32]  |  1   |  0  | bf16  |       88.28       |      87.65       |      88.67       |        5.94        |
| 4096 |  32  |   1   | 16  |  [4096, 32]  |  1   |  0  | bf16  |       88.18       |      87.24       |      88.67       |        9.87        |
|  1   | 128  |   1   | 16  |   [1, 128]   |  1   |  0  | bf16  |       88.72       |      87.69       |      89.49       |       17.74        |
|  2   | 128  |   1   | 16  |   [2, 128]   |  1   |  0  | bf16  |       88.26       |      87.83       |       88.7       |        5.93        |
|  8   | 128  |   1   | 16  |   [8, 128]   |  1   |  0  | bf16  |       88.42       |      87.16       |      89.16       |        9.87        |
| 128  | 128  |   1   | 16  |  [128, 128]  |  1   |  0  | bf16  |       88.84       |      88.17       |      89.28       |       17.73        |
| 1024 | 128  |   1   | 16  | [1024, 128]  |  1   |  0  | bf16  |       87.96       |      87.41       |      88.44       |       33.47        |
| 4096 | 128  |   1   | 16  | [4096, 128]  |  1   |  0  | bf16  |       88.63       |      87.92       |      89.13       |        9.87        |
|  1   | 1024 |   1   | 16  |  [1, 1024]   |  1   |  0  | bf16  |       88.44       |      87.55       |      88.94       |       17.73        |
|  2   | 1024 |   1   | 16  |  [2, 1024]   |  1   |  0  | bf16  |       88.08       |      87.18       |      89.17       |       33.46        |
|  8   | 1024 |   1   | 16  |  [8, 1024]   |  1   |  0  | bf16  |       88.52       |      88.14       |      88.91       |       64.93        |
| 128  | 1024 |   1   | 16  | [128, 1024]  |  1   |  0  | bf16  |       88.77       |      88.19       |      89.23       |       17.73        |
| 1024 | 1024 |   1   | 16  | [1024, 1024] |  1   |  0  | bf16  |       87.79       |      86.97       |      88.82       |       33.46        |
| 4096 | 1024 |   1   | 16  | [4096, 1024] |  1   |  0  | bf16  |       87.71       |      87.07       |       88.5       |       64.92        |
|  1   | 8192 |   1   | 16  |  [1, 8192]   |  1   |  0  | bf16  |       88.22       |      87.59       |      88.55       |       127.84       |
|  2   | 8192 |   1   | 16  |  [2, 8192]   |  1   |  0  | bf16  |       87.66       |      86.71       |      88.42       |        3.97        |
|  8   | 8192 |   1   | 16  |  [8, 8192]   |  1   |  0  | bf16  |       87.94       |      87.26       |      88.44       |        5.94        |
| 128  | 8192 |   1   | 16  | [128, 8192]  |  1   |  0  | bf16  |       87.27       |      86.97       |      87.78       |        9.87        |
| 1024 | 8192 |   1   | 16  | [1024, 8192] |  1   |  0  | bf16  |       88.21       |      87.32       |      88.94       |       17.74        |
| 4096 | 8192 |   1   | 16  | [4096, 8192] |  1   |  0  | bf16  |       88.28       |      87.22       |      88.84       |        5.93        |
|  1   |  32  |   4   | 16  |   [1, 32]    |  1   |  0  | bf16  |       88.11       |      87.58       |      88.78       |        9.87        |
|  2   |  32  |   4   | 16  |   [2, 32]    |  1   |  0  | bf16  |       87.57       |      86.69       |       88.8       |       17.73        |
|  8   |  32  |   4   | 16  |   [8, 32]    |  1   |  0  | bf16  |       87.69       |      86.84       |      88.27       |       33.47        |
| 128  |  32  |   4   | 16  |  [128, 32]   |  1   |  0  | bf16  |       87.68       |      87.07       |      88.52       |        9.87        |
| 1024 |  32  |   4   | 16  |  [1024, 32]  |  1   |  0  | bf16  |       88.2        |      87.46       |      88.72       |       17.73        |
| 4096 |  32  |   4   | 16  |  [4096, 32]  |  1   |  0  | bf16  |       88.33       |      87.52       |      88.96       |       33.46        |
|  1   | 128  |   4   | 16  |   [1, 128]   |  1   |  0  | bf16  |       88.11       |      87.77       |      88.47       |       64.93        |
|  2   | 128  |   4   | 16  |   [2, 128]   |  1   |  0  | bf16  |       88.17       |      87.68       |      88.87       |       17.73        |
|  8   | 128  |   4   | 16  |   [8, 128]   |  1   |  0  | bf16  |       88.33       |      87.67       |      88.98       |       33.46        |
| 128  | 128  |   4   | 16  |  [128, 128]  |  1   |  0  | bf16  |       87.33       |      86.64       |      88.34       |       64.92        |
| 1024 | 128  |   4   | 16  | [1024, 128]  |  1   |  0  | bf16  |       87.9        |       87.1       |      88.37       |       127.84       |
| 4096 | 128  |   4   | 16  | [4096, 128]  |  1   |  0  | bf16  |       88.04       |       87.3       |      88.35       |       33.46        |
|  1   | 1024 |   4   | 16  |  [1, 1024]   |  1   |  0  | bf16  |       87.94       |      87.69       |       88.2       |       64.92        |
|  2   | 1024 |   4   | 16  |  [2, 1024]   |  1   |  0  | bf16  |       87.93       |      87.46       |      88.49       |       127.83       |
|  8   | 1024 |   4   | 16  |  [8, 1024]   |  1   |  0  | bf16  |       87.55       |      87.31       |      87.98       |       253.67       |
| 128  | 1024 |   4   | 16  | [128, 1024]  |  1   |  0  | bf16  |       88.47       |      87.81       |      89.33       |       64.92        |
| 1024 | 1024 |   4   | 16  | [1024, 1024] |  1   |  0  | bf16  |       87.51       |      87.15       |      87.91       |       127.83       |
| 4096 | 1024 |   4   | 16  | [4096, 1024] |  1   |  0  | bf16  |       87.8        |      87.36       |      88.48       |       253.66       |
|  1   | 8192 |   4   | 16  |  [1, 8192]   |  1   |  0  | bf16  |       87.9        |      86.96       |      88.83       |       505.33       |
|  2   | 8192 |   4   | 16  |  [2, 8192]   |  1   |  0  | bf16  |       87.96       |      87.18       |      88.75       |        2.66        |
|  8   | 8192 |   4   | 16  |  [8, 8192]   |  1   |  0  | bf16  |       87.72       |      86.68       |      88.84       |        3.32        |
| 128  | 8192 |   4   | 16  | [128, 8192]  |  1   |  0  | bf16  |       87.67       |      86.64       |      88.16       |        4.64        |
| 1024 | 8192 |   4   | 16  | [1024, 8192] |  1   |  0  | bf16  |       87.91       |      87.34       |      88.39       |        7.28        |
| 4096 | 8192 |   4   | 16  | [4096, 8192] |  1   |  0  | bf16  |       87.63       |      87.03       |      88.08       |        3.32        |
|  1   |  32  |   0   | 32  |   [1, 32]    |  1   |  0  | bf16  |       87.94       |      86.39       |      88.91       |        4.64        |
|  2   |  32  |   0   | 32  |   [2, 32]    |  1   |  0  | bf16  |       87.76       |      86.91       |      88.36       |        7.27        |
|  8   |  32  |   0   | 32  |   [8, 32]    |  1   |  0  | bf16  |       87.93       |      87.09       |      88.54       |       12.54        |
| 128  |  32  |   0   | 32  |  [128, 32]   |  1   |  0  | bf16  |       88.06       |       87.7       |      88.47       |        4.63        |
| 1024 |  32  |   0   | 32  |  [1024, 32]  |  1   |  0  | bf16  |       88.01       |      87.59       |      88.38       |        7.27        |
| 4096 |  32  |   0   | 32  |  [4096, 32]  |  1   |  0  | bf16  |       87.79       |      87.29       |      88.07       |       12.53        |
|  1   | 128  |   0   | 32  |   [1, 128]   |  1   |  0  | bf16  |       88.03       |       87.1       |      88.59       |       23.07        |
|  2   | 128  |   0   | 32  |   [2, 128]   |  1   |  0  | bf16  |       87.72       |      86.72       |      88.38       |        7.27        |
|  8   | 128  |   0   | 32  |   [8, 128]   |  1   |  0  | bf16  |       87.94       |       87.4       |      88.69       |       12.53        |
| 128  | 128  |   0   | 32  |  [128, 128]  |  1   |  0  | bf16  |       88.01       |      86.98       |      88.75       |       23.06        |
| 1024 | 128  |   0   | 32  | [1024, 128]  |  1   |  0  | bf16  |       87.81       |      87.67       |      87.92       |       44.12        |
| 4096 | 128  |   0   | 32  | [4096, 128]  |  1   |  0  | bf16  |       88.57       |      87.24       |      89.42       |       12.53        |
|  1   | 1024 |   0   | 32  |  [1, 1024]   |  1   |  0  | bf16  |       87.93       |       87.4       |      88.24       |       23.06        |
|  2   | 1024 |   0   | 32  |  [2, 1024]   |  1   |  0  | bf16  |       87.5        |      86.73       |       88.4       |       44.11        |
|  8   | 1024 |   0   | 32  |  [8, 1024]   |  1   |  0  | bf16  |       87.94       |      87.07       |      88.51       |       86.23        |
| 128  | 1024 |   0   | 32  | [128, 1024]  |  1   |  0  | bf16  |       87.9        |      87.04       |      88.53       |       23.06        |
| 1024 | 1024 |   0   | 32  | [1024, 1024] |  1   |  0  | bf16  |       87.95       |      87.05       |      88.82       |       44.11        |
| 4096 | 1024 |   0   | 32  | [4096, 1024] |  1   |  0  | bf16  |       88.05       |      87.49       |      88.69       |       86.22        |
|  1   | 8192 |   0   | 32  |  [1, 8192]   |  1   |  0  | bf16  |       88.15       |      87.43       |      88.78       |       170.44       |
|  2   | 8192 |   0   | 32  |  [2, 8192]   |  1   |  0  | bf16  |       87.41       |       86.7       |      88.77       |        4.63        |
|  8   | 8192 |   0   | 32  |  [8, 8192]   |  1   |  0  | bf16  |       87.98       |      87.14       |      88.59       |        7.27        |
| 128  | 8192 |   0   | 32  | [128, 8192]  |  1   |  0  | bf16  |       88.01       |      87.21       |      88.62       |       12.53        |
| 1024 | 8192 |   0   | 32  | [1024, 8192] |  1   |  0  | bf16  |       88.05       |       87.8       |      88.51       |       23.07        |
| 4096 | 8192 |   0   | 32  | [4096, 8192] |  1   |  0  | bf16  |       88.69       |      88.27       |      89.24       |        7.27        |
|  1   |  32  |   1   | 32  |   [1, 32]    |  1   |  0  | bf16  |       88.07       |      87.63       |      88.42       |       12.53        |
|  2   |  32  |   1   | 32  |   [2, 32]    |  1   |  0  | bf16  |       88.07       |      87.03       |      88.89       |       23.06        |
|  8   |  32  |   1   | 32  |   [8, 32]    |  1   |  0  | bf16  |       88.24       |      87.55       |      88.73       |       44.12        |
| 128  |  32  |   1   | 32  |  [128, 32]   |  1   |  0  | bf16  |       87.96       |      87.07       |      88.86       |       12.53        |
| 1024 |  32  |   1   | 32  |  [1024, 32]  |  1   |  0  | bf16  |       88.53       |      87.84       |      88.93       |       23.06        |
| 4096 |  32  |   1   | 32  |  [4096, 32]  |  1   |  0  | bf16  |       88.11       |      87.25       |      88.75       |       44.11        |
|  1   | 128  |   1   | 32  |   [1, 128]   |  1   |  0  | bf16  |       88.18       |       86.7       |      88.86       |       86.23        |
|  2   | 128  |   1   | 32  |   [2, 128]   |  1   |  0  | bf16  |       88.22       |      87.37       |       88.9       |       23.06        |
|  8   | 128  |   1   | 32  |   [8, 128]   |  1   |  0  | bf16  |       88.23       |      87.43       |      89.06       |       44.11        |
| 128  | 128  |   1   | 32  |  [128, 128]  |  1   |  0  | bf16  |       87.98       |      87.24       |      89.11       |       86.22        |
| 1024 | 128  |   1   | 32  | [1024, 128]  |  1   |  0  | bf16  |       88.42       |      87.62       |       88.8       |       170.44       |
| 4096 | 128  |   1   | 32  | [4096, 128]  |  1   |  0  | bf16  |       88.25       |      87.85       |      88.64       |       44.11        |
|  1   | 1024 |   1   | 32  |  [1, 1024]   |  1   |  0  | bf16  |       87.79       |      86.84       |      89.36       |       86.22        |
|  2   | 1024 |   1   | 32  |  [2, 1024]   |  1   |  0  | bf16  |       88.25       |      87.41       |      89.08       |       170.44       |
|  8   | 1024 |   1   | 32  |  [8, 1024]   |  1   |  0  | bf16  |       88.41       |      87.89       |      88.83       |       338.87       |
| 128  | 1024 |   1   | 32  | [128, 1024]  |  1   |  0  | bf16  |       87.89       |      87.46       |      88.98       |       86.22        |
| 1024 | 1024 |   1   | 32  | [1024, 1024] |  1   |  0  | bf16  |       88.06       |      87.58       |      88.76       |       170.43       |
| 4096 | 1024 |   1   | 32  | [4096, 1024] |  1   |  0  | bf16  |       88.05       |      86.92       |      89.13       |       338.86       |
|  1   | 8192 |   1   | 32  |  [1, 8192]   |  1   |  0  | bf16  |       88.36       |      87.85       |      88.84       |       675.73       |
|  2   | 8192 |   1   | 32  |  [2, 8192]   |  1   |  0  | bf16  |       88.05       |      87.11       |      88.73       |        2.33        |
|  8   | 8192 |   1   | 32  |  [8, 8192]   |  1   |  0  | bf16  |       87.34       |      86.57       |      87.92       |        2.66        |
| 128  | 8192 |   1   | 32  | [128, 8192]  |  1   |  0  | bf16  |       88.29       |      87.21       |      89.52       |        3.31        |
| 1024 | 8192 |   1   | 32  | [1024, 8192] |  1   |  0  | bf16  |       87.99       |      87.55       |      88.31       |        4.63        |
| 4096 | 8192 |   1   | 32  | [4096, 8192] |  1   |  0  | bf16  |       87.59       |      86.56       |      88.87       |        2.66        |
|  1   |  32  |   4   | 32  |   [1, 32]    |  1   |  0  | bf16  |       88.15       |      87.32       |      88.65       |        3.31        |
|  2   |  32  |   4   | 32  |   [2, 32]    |  1   |  0  | bf16  |       88.45       |      87.36       |      89.37       |        4.63        |
|  8   |  32  |   4   | 32  |   [8, 32]    |  1   |  0  | bf16  |       87.48       |      87.13       |      88.21       |        7.25        |
| 128  |  32  |   4   | 32  |  [128, 32]   |  1   |  0  | bf16  |       88.15       |      87.78       |      88.37       |        3.31        |
| 1024 |  32  |   4   | 32  |  [1024, 32]  |  1   |  0  | bf16  |       87.63       |      87.04       |      87.96       |        4.62        |
| 4096 |  32  |   4   | 32  |  [4096, 32]  |  1   |  0  | bf16  |       87.66       |      87.16       |      88.69       |        7.25        |
|  1   | 128  |   4   | 32  |   [1, 128]   |  1   |  0  | bf16  |       87.85       |      87.25       |      88.37       |       12.49        |
|  2   | 128  |   4   | 32  |   [2, 128]   |  1   |  0  | bf16  |       87.83       |      87.25       |      88.47       |        4.62        |
|  8   | 128  |   4   | 32  |   [8, 128]   |  1   |  0  | bf16  |       88.06       |      87.68       |      88.47       |        7.24        |
| 128  | 128  |   4   | 32  |  [128, 128]  |  1   |  0  | bf16  |       88.16       |      87.27       |      88.94       |       12.49        |
| 1024 | 128  |   4   | 32  | [1024, 128]  |  1   |  0  | bf16  |       87.8        |      87.44       |      88.47       |       22.98        |
| 4096 | 128  |   4   | 32  | [4096, 128]  |  1   |  0  | bf16  |       88.34       |      87.61       |       89.1       |        7.24        |
|  1   | 1024 |   4   | 32  |  [1, 1024]   |  1   |  0  | bf16  |       88.74       |      88.06       |      89.42       |       12.49        |
|  2   | 1024 |   4   | 32  |  [2, 1024]   |  1   |  0  | bf16  |       87.43       |      86.54       |      88.32       |       22.98        |
|  8   | 1024 |   4   | 32  |  [8, 1024]   |  1   |  0  | bf16  |       88.25       |      87.22       |      88.89       |       43.95        |
| 128  | 1024 |   4   | 32  | [128, 1024]  |  1   |  0  | bf16  |       88.01       |      87.31       |      88.74       |       12.49        |
| 1024 | 1024 |   4   | 32  | [1024, 1024] |  1   |  0  | bf16  |       88.51       |      87.04       |      89.31       |       22.97        |
| 4096 | 1024 |   4   | 32  | [4096, 1024] |  1   |  0  | bf16  |       88.22       |      87.36       |      88.78       |       43.95        |
|  1   | 8192 |   4   | 32  |  [1, 8192]   |  1   |  0  | bf16  |       88.06       |      86.68       |      88.82       |       85.89        |
|  2   | 8192 |   4   | 32  |  [2, 8192]   |  1   |  0  | bf16  |       87.7        |      86.79       |      89.44       |        3.31        |
