Test Case: L40S_aten_slice
|   M   |  N   |  B  | dim | end | start | step |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 16384 |  64  | N/A |  0  |  8  |   0   |  1   |   [[16384, 64]]    | bf16  |       1.38       |        1.4        |       1.43       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    175.89%    |
| 32768 |  64  | N/A |  0  |  8  |   0   |  1   |   [[32768, 64]]    | bf16  |       1.41       |       1.44        |       1.46       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    344.29%    |
|  32   | 128  | N/A |  0  |  8  |   0   |  1   |    [[32, 128]]     | bf16  |       1.41       |       1.42        |       1.43       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.67%     |
|  64   | 128  | N/A |  0  |  8  |   0   |  1   |    [[64, 128]]     | bf16  |       1.4        |       1.44        |       1.49       |        2.02        | 0.00e+00 | 8.19e+03 |        0%        |     1.35%     |
|  128  | 128  | N/A |  0  |  8  |   0   |  1   |    [[128, 128]]    | bf16  |       1.41       |       1.42        |       1.45       |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.69%     |
|  256  | 128  | N/A |  0  |  8  |   0   |  1   |    [[256, 128]]    | bf16  |       1.41       |       1.43        |       1.46       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     5.38%     |
|  512  | 128  | N/A |  0  |  8  |   0   |  1   |    [[512, 128]]    | bf16  |       1.41       |       1.45        |       1.53       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |    10.76%     |
| 1024  | 128  | N/A |  0  |  8  |   0   |  1   |   [[1024, 128]]    | bf16  |       1.38       |       1.42        |       1.46       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    21.99%     |
| 2048  | 128  | N/A |  0  |  8  |   0   |  1   |   [[2048, 128]]    | bf16  |       1.39       |       1.42        |       1.45       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    43.66%     |
| 4096  | 128  | N/A |  0  |  8  |   0   |  1   |   [[4096, 128]]    | bf16  |       1.42       |       1.45        |       1.47       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    85.47%     |
| 8192  | 128  | N/A |  0  |  8  |   0   |  1   |   [[8192, 128]]    | bf16  |       1.4        |       1.42        |       1.45       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    173.38%    |
| 16384 | 128  | N/A |  0  |  8  |   0   |  1   |   [[16384, 128]]   | bf16  |       1.4        |       1.43        |       1.44       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    346.75%    |
| 32768 | 128  | N/A |  0  |  8  |   0   |  1   |   [[32768, 128]]   | bf16  |       1.41       |       1.44        |       1.47       |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |    688.58%    |
|  32   | 512  | N/A |  0  |  8  |   0   |  1   |    [[32, 512]]     | bf16  |       1.39       |       1.41        |       1.43       |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.73%     |
|  64   | 512  | N/A |  0  |  8  |   0   |  1   |    [[64, 512]]     | bf16  |       1.43       |       1.44        |       1.45       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     5.3%      |
|  128  | 512  | N/A |  0  |  8  |   0   |  1   |    [[128, 512]]    | bf16  |       1.4        |       1.44        |       1.48       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |    10.84%     |
|  256  | 512  | N/A |  0  |  8  |   0   |  1   |    [[256, 512]]    | bf16  |       1.39       |       1.42        |       1.45       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    21.83%     |
|  512  | 512  | N/A |  0  |  8  |   0   |  1   |    [[512, 512]]    | bf16  |       1.38       |       1.42        |       1.45       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    43.97%     |
| 1024  | 512  | N/A |  0  |  8  |   0   |  1   |   [[1024, 512]]    | bf16  |       1.41       |       1.43        |       1.46       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    86.07%     |
| 2048  | 512  | N/A |  0  |  8  |   0   |  1   |   [[2048, 512]]    | bf16  |       1.42       |       1.45        |       1.48       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    170.93%    |
| 4096  | 512  | N/A |  0  |  8  |   0   |  1   |   [[4096, 512]]    | bf16  |       1.39       |       1.43        |       1.47       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    349.25%    |
| 8192  | 512  | N/A |  0  |  8  |   0   |  1   |   [[8192, 512]]    | bf16  |       1.39       |       1.43        |       1.48       |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |    698.49%    |
| 16384 | 512  | N/A |  0  |  8  |   0   |  1   |   [[16384, 512]]   | bf16  |       1.35       |        1.4        |       1.44       |       26.27        | 0.00e+00 | 8.39e+06 |        0%        |   1438.38%    |
| 32768 | 512  | N/A |  0  |  8  |   0   |  1   |   [[32768, 512]]   | bf16  |       1.39       |       1.43        |       1.46       |       50.55        | 0.00e+00 | 1.68e+07 |        0%        |   2793.97%    |
|  32   | 768  | N/A |  0  |  8  |   0   |  1   |    [[32, 768]]     | bf16  |       1.39       |       1.42        |       1.46       |        2.07        | 0.00e+00 | 2.46e+04 |        0%        |     4.09%     |
|  64   | 768  | N/A |  0  |  8  |   0   |  1   |    [[64, 768]]     | bf16  |       1.39       |       1.43        |       1.46       |        2.14        | 0.00e+00 | 4.92e+04 |        0%        |     8.19%     |
|  128  | 768  | N/A |  0  |  8  |   0   |  1   |    [[128, 768]]    | bf16  |       1.4        |       1.43        |       1.46       |        2.28        | 0.00e+00 | 9.83e+04 |        0%        |    16.25%     |
|  256  | 768  | N/A |  0  |  8  |   0   |  1   |    [[256, 768]]    | bf16  |       1.35       |       1.42        |       1.45       |        2.57        | 0.00e+00 | 1.97e+05 |        0%        |    33.71%     |
|  512  | 768  | N/A |  0  |  8  |   0   |  1   |    [[512, 768]]    | bf16  |       1.41       |       1.43        |       1.46       |        3.14        | 0.00e+00 | 3.93e+05 |        0%        |    64.55%     |
| 1024  | 768  | N/A |  0  |  8  |   0   |  1   |   [[1024, 768]]    | bf16  |       1.39       |       1.42        |       1.47       |        4.28        | 0.00e+00 | 7.86e+05 |        0%        |    130.97%    |
| 2048  | 768  | N/A |  0  |  8  |   0   |  1   |   [[2048, 768]]    | bf16  |       1.4        |       1.43        |       1.46       |        6.55        | 0.00e+00 | 1.57e+06 |        0%        |    260.06%    |
| 4096  | 768  | N/A |  0  |  8  |   0   |  1   |   [[4096, 768]]    | bf16  |       1.38       |       1.43        |       1.48       |        11.1        | 0.00e+00 | 3.15e+06 |        0%        |    527.67%    |
| 8192  | 768  | N/A |  0  |  8  |   0   |  1   |   [[8192, 768]]    | bf16  |       1.4        |       1.43        |       1.47       |        20.2        | 0.00e+00 | 6.29e+06 |        0%        |   1040.25%    |
| 16384 | 768  | N/A |  0  |  8  |   0   |  1   |   [[16384, 768]]   | bf16  |       1.39       |       1.44        |       1.48       |       38.41        | 0.00e+00 | 1.26e+07 |        0%        |   2095.48%    |
| 32768 | 768  | N/A |  0  |  8  |   0   |  1   |   [[32768, 768]]   | bf16  |       1.4        |       1.44        |       1.47       |       74.82        | 0.00e+00 | 2.52e+07 |        0%        |   4161.02%    |
|  32   | 2048 | N/A |  0  |  8  |   0   |  1   |    [[32, 2048]]    | bf16  |       1.39       |       1.44        |       1.49       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |    10.91%     |
|  64   | 2048 | N/A |  0  |  8  |   0   |  1   |    [[64, 2048]]    | bf16  |       1.41       |       1.44        |       1.48       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    21.52%     |
|  128  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[128, 2048]]    | bf16  |       1.39       |       1.42        |       1.44       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    43.66%     |
|  256  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[256, 2048]]    | bf16  |       1.44       |       1.46        |       1.48       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    84.28%     |
|  512  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[512, 2048]]    | bf16  |       1.39       |       1.43        |       1.49       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    174.62%    |
| 1024  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[1024, 2048]]   | bf16  |       1.41       |       1.43        |       1.47       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    344.29%    |
| 2048  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[2048, 2048]]   | bf16  |       1.41       |       1.43        |       1.47       |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |    688.58%    |
| 4096  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[4096, 2048]]   | bf16  |       1.4        |       1.43        |       1.48       |       26.27        | 0.00e+00 | 8.39e+06 |        0%        |   1387.01%    |
| 8192  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[8192, 2048]]   | bf16  |       1.37       |       1.41        |       1.44       |       50.55        | 0.00e+00 | 1.68e+07 |        0%        |   2834.76%    |
| 16384 | 2048 | N/A |  0  |  8  |   0   |  1   |  [[16384, 2048]]   | bf16  |       1.41       |       1.44        |       1.46       |       99.09        | 0.00e+00 | 3.36e+07 |        0%        |   5508.67%    |
| 32768 | 2048 | N/A |  0  |  8  |   0   |  1   |  [[32768, 2048]]   | bf16  |       1.37       |       1.42        |       1.47       |       196.18       | 0.00e+00 | 6.71e+07 |        0%        |   11339.02%   |
|  32   | 3072 | N/A |  0  |  8  |   0   |  1   |    [[32, 3072]]    | bf16  |       1.4        |       1.44        |       1.46       |        2.28        | 0.00e+00 | 9.83e+04 |        0%        |    16.25%     |
|  64   | 3072 | N/A |  0  |  8  |   0   |  1   |    [[64, 3072]]    | bf16  |       1.38       |       1.41        |       1.48       |        2.57        | 0.00e+00 | 1.97e+05 |        0%        |    32.98%     |
|  128  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[128, 3072]]    | bf16  |       1.43       |       1.47        |       1.58       |        3.14        | 0.00e+00 | 3.93e+05 |        0%        |    63.65%     |
|  256  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[256, 3072]]    | bf16  |       1.4        |       1.41        |       1.45       |        4.28        | 0.00e+00 | 7.86e+05 |        0%        |    130.03%    |
|  512  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[512, 3072]]    | bf16  |       1.37       |       1.42        |       1.51       |        6.55        | 0.00e+00 | 1.57e+06 |        0%        |    265.76%    |
| 1024  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[1024, 3072]]   | bf16  |       1.38       |       1.41        |       1.44       |        11.1        | 0.00e+00 | 3.15e+06 |        0%        |    527.67%    |
| 2048  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[2048, 3072]]   | bf16  |       1.37       |       1.41        |       1.46       |        20.2        | 0.00e+00 | 6.29e+06 |        0%        |   1063.03%    |
| 4096  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[4096, 3072]]   | bf16  |       1.4        |       1.42        |       1.43       |       38.41        | 0.00e+00 | 1.26e+07 |        0%        |   2080.51%    |
| 8192  | 3072 | N/A |  0  |  8  |   0   |  1   |   [[8192, 3072]]   | bf16  |       1.41       |       1.43        |       1.47       |       74.82        | 0.00e+00 | 2.52e+07 |        0%        |   4131.51%    |
| 16384 | 3072 | N/A |  0  |  8  |   0   |  1   |  [[16384, 3072]]   | bf16  |       1.41       |       1.44        |       1.49       |       147.64       | 0.00e+00 | 5.03e+07 |        0%        |   8263.01%    |
| 32768 | 3072 | N/A |  0  |  8  |   0   |  1   |  [[32768, 3072]]   | bf16  |       1.4        |       1.43        |       1.48       |       293.27       | 0.00e+00 | 1.01e+08 |        0%        |   16644.06%   |
|  32   | 4096 | N/A |  0  |  8  |   0   |  1   |    [[32, 4096]]    | bf16  |       1.41       |       1.44        |       1.49       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    21.52%     |
|  64   | 4096 | N/A |  0  |  8  |   0   |  1   |    [[64, 4096]]    | bf16  |       1.43       |       1.45        |       1.46       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    42.43%     |
|  128  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[128, 4096]]    | bf16  |       1.39       |       1.43        |       1.47       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    87.31%     |
|  256  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[256, 4096]]    | bf16  |       1.41       |       1.43        |       1.46       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    172.15%    |
|  512  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[512, 4096]]    | bf16  |       1.4        |       1.43        |       1.46       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    346.75%    |
| 1024  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[1024, 4096]]   | bf16  |       1.38       |       1.44        |       1.48       |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |    703.55%    |
| 2048  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[2048, 4096]]   | bf16  |       1.38       |       1.42        |       1.44       |       26.27        | 0.00e+00 | 8.39e+06 |        0%        |   1407.11%    |
| 4096  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[4096, 4096]]   | bf16  |       1.4        |       1.44        |       1.47       |       50.55        | 0.00e+00 | 1.68e+07 |        0%        |   2774.01%    |
| 8192  | 4096 | N/A |  0  |  8  |   0   |  1   |   [[8192, 4096]]   | bf16  |       1.42       |       1.44        |       1.47       |       99.09        | 0.00e+00 | 3.36e+07 |        0%        |   5469.88%    |
| 16384 | 4096 | N/A |  0  |  8  |   0   |  1   |  [[16384, 4096]]   | bf16  |       1.41       |       1.45        |       1.47       |       196.18       | 0.00e+00 | 6.71e+07 |        0%        |   11017.35%   |
| 32768 | 4096 | N/A |  0  |  8  |   0   |  1   |  [[32768, 4096]]   | bf16  |       1.38       |       1.43        |       1.46       |       390.36       | 0.00e+00 | 1.34e+08 |        0%        |   22513.71%   |
|  32   | 8192 | N/A |  0  |  8  |   0   |  1   |    [[32, 8192]]    | bf16  |       1.39       |       1.42        |       1.44       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    43.66%     |
|  64   | 8192 | N/A |  0  |  8  |   0   |  1   |    [[64, 8192]]    | bf16  |       1.41       |       1.45        |       1.54       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    86.07%     |
|  128  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[128, 8192]]    | bf16  |       1.41       |       1.45        |       1.52       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    172.15%    |
|  256  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[256, 8192]]    | bf16  |       1.38       |       1.42        |       1.46       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    351.78%    |
|  512  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[512, 8192]]    | bf16  |       1.4        |       1.43        |       1.47       |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |    693.5%     |
| 1024  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[1024, 8192]]   | bf16  |       1.37       |        1.4        |       1.46       |       26.27        | 0.00e+00 | 8.39e+06 |        0%        |   1417.38%    |
| 2048  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[2048, 8192]]   | bf16  |       1.4        |       1.44        |       1.49       |       50.55        | 0.00e+00 | 1.68e+07 |        0%        |   2774.01%    |
| 4096  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[4096, 8192]]   | bf16  |       1.4        |       1.42        |       1.46       |       99.09        | 0.00e+00 | 3.36e+07 |        0%        |   5548.02%    |
| 8192  | 8192 | N/A |  0  |  8  |   0   |  1   |   [[8192, 8192]]   | bf16  |       1.4        |       1.44        |       1.55       |       196.18       | 0.00e+00 | 6.71e+07 |        0%        |   11096.04%   |
| 16384 | 8192 | N/A |  0  |  8  |   0   |  1   |  [[16384, 8192]]   | bf16  |       1.38       |       1.43        |       1.45       |       390.36       | 0.00e+00 | 1.34e+08 |        0%        |   22513.71%   |
| 32768 | 8192 | N/A |  0  |  8  |   0   |  1   |  [[32768, 8192]]   | bf16  |       0.64       |        1.3        |       1.44       |       778.72       | 0.00e+00 | 2.68e+08 |        0%        |   97090.37%   |
|  32   |  32  | N/A |  0  |  8  |   1   |  1   |     [[32, 32]]     | bf16  |       1.39       |       1.43        |       1.47       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.17%     |
|  64   |  32  | N/A |  0  |  8  |   1   |  1   |     [[64, 32]]     | bf16  |       1.37       |        1.4        |       1.42       |        2.01        | 0.00e+00 | 2.05e+03 |        0%        |     0.35%     |
|  128  |  32  | N/A |  0  |  8  |   1   |  1   |    [[128, 32]]     | bf16  |       1.44       |        1.5        |       1.53       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.66%     |
|  256  |  32  | N/A |  0  |  8  |   1   |  1   |    [[256, 32]]     | bf16  |       1.39       |       1.43        |       1.47       |        2.02        | 0.00e+00 | 8.19e+03 |        0%        |     1.36%     |
|  512  |  32  | N/A |  0  |  8  |   1   |  1   |    [[512, 32]]     | bf16  |       1.4        |       1.41        |       1.45       |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.71%     |
| 1024  |  32  | N/A |  0  |  8  |   1   |  1   |    [[1024, 32]]    | bf16  |       1.37       |       1.41        |       1.44       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     5.54%     |
| 2048  |  32  | N/A |  0  |  8  |   1   |  1   |    [[2048, 32]]    | bf16  |       1.4        |       1.43        |       1.44       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |    10.84%     |
| 4096  |  32  | N/A |  0  |  8  |   1   |  1   |    [[4096, 32]]    | bf16  |       1.4        |       1.43        |       1.45       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    21.67%     |
| 8192  |  32  | N/A |  0  |  8  |   1   |  1   |    [[8192, 32]]    | bf16  |       1.37       |       1.41        |       1.46       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    44.29%     |
| 16384 |  32  | N/A |  0  |  8  |   1   |  1   |   [[16384, 32]]    | bf16  |       1.4        |       1.43        |       1.47       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    86.69%     |
| 32768 |  32  | N/A |  0  |  8  |   1   |  1   |   [[32768, 32]]    | bf16  |       1.39       |       1.43        |       1.46       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    174.62%    |
|  32   |  64  | N/A |  0  |  8  |   1   |  1   |     [[32, 64]]     | bf16  |       1.38       |       1.41        |       1.43       |        2.01        | 0.00e+00 | 2.05e+03 |        0%        |     0.34%     |
|  64   |  64  | N/A |  0  |  8  |   1   |  1   |     [[64, 64]]     | bf16  |       1.37       |       1.39        |       1.43       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.69%     |
|  128  |  64  | N/A |  0  |  8  |   1   |  1   |    [[128, 64]]     | bf16  |       1.39       |        1.4        |       1.42       |        2.02        | 0.00e+00 | 8.19e+03 |        0%        |     1.36%     |
|  256  |  64  | N/A |  0  |  8  |   1   |  1   |    [[256, 64]]     | bf16  |       1.4        |       1.45        |       1.48       |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.71%     |
|  512  |  64  | N/A |  0  |  8  |   1   |  1   |    [[512, 64]]     | bf16  |       1.39       |       1.41        |       1.46       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     5.46%     |
| 1024  |  64  | N/A |  0  |  8  |   1   |  1   |    [[1024, 64]]    | bf16  |       1.39       |       1.43        |       1.45       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |    10.91%     |
| 2048  |  64  | N/A |  0  |  8  |   1   |  1   |    [[2048, 64]]    | bf16  |       1.39       |       1.43        |       1.48       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    21.83%     |
| 4096  |  64  | N/A |  0  |  8  |   1   |  1   |    [[4096, 64]]    | bf16  |       1.38       |       1.41        |       1.43       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    43.97%     |
| 8192  |  64  | N/A |  0  |  8  |   1   |  1   |    [[8192, 64]]    | bf16  |       1.38       |       1.42        |       1.47       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    87.94%     |
| 16384 |  64  | N/A |  0  |  8  |   1   |  1   |   [[16384, 64]]    | bf16  |       1.4        |       1.42        |       1.43       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    173.38%    |
| 32768 |  64  | N/A |  0  |  8  |   1   |  1   |   [[32768, 64]]    | bf16  |       1.37       |       1.41        |       1.47       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    354.34%    |
|  32   | 128  | N/A |  0  |  8  |   1   |  1   |    [[32, 128]]     | bf16  |       1.38       |        1.4        |       1.42       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.69%     |
|  64   | 128  | N/A |  0  |  8  |   1   |  1   |    [[64, 128]]     | bf16  |       1.37       |        1.4        |       1.43       |        2.02        | 0.00e+00 | 8.19e+03 |        0%        |     1.38%     |
|  128  | 128  | N/A |  0  |  8  |   1   |  1   |    [[128, 128]]    | bf16  |       1.38       |       1.42        |       1.47       |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.75%     |
|  256  | 128  | N/A |  0  |  8  |   1   |  1   |    [[256, 128]]    | bf16  |       1.41       |       1.45        |       1.51       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     5.38%     |
|  512  | 128  | N/A |  0  |  8  |   1   |  1   |    [[512, 128]]    | bf16  |       1.39       |       1.42        |       1.44       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |    10.91%     |
| 1024  | 128  | N/A |  0  |  8  |   1   |  1   |   [[1024, 128]]    | bf16  |       1.39       |       1.43        |       1.47       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    21.83%     |
| 2048  | 128  | N/A |  0  |  8  |   1   |  1   |   [[2048, 128]]    | bf16  |       1.4        |       1.43        |       1.46       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    43.34%     |
| 4096  | 128  | N/A |  0  |  8  |   1   |  1   |   [[4096, 128]]    | bf16  |       1.41       |       1.45        |       1.5        |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    86.07%     |
| 8192  | 128  | N/A |  0  |  8  |   1   |  1   |   [[8192, 128]]    | bf16  |       1.43       |       1.46        |       1.49       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    169.74%    |
| 16384 | 128  | N/A |  0  |  8  |   1   |  1   |   [[16384, 128]]   | bf16  |       1.41       |       1.45        |       1.49       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    344.29%    |
| 32768 | 128  | N/A |  0  |  8  |   1   |  1   |   [[32768, 128]]   | bf16  |       1.39       |       1.42        |       1.46       |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |    698.49%    |
|  32   | 512  | N/A |  0  |  8  |   1   |  1   |    [[32, 512]]     | bf16  |       1.43       |       1.45        |       1.52       |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.65%     |
|  64   | 512  | N/A |  0  |  8  |   1   |  1   |    [[64, 512]]     | bf16  |       1.4        |       1.42        |       1.44       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     5.42%     |
|  128  | 512  | N/A |  0  |  8  |   1   |  1   |    [[128, 512]]    | bf16  |       1.41       |       1.42        |       1.44       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |    10.76%     |
