Test Case: L40S_aten_fill_
|   M   |   N   |  B  | _val |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 2048  |  64   | N/A |  1   |    [[2048, 64]]    | bf16  |       2.01       |       2.05        |       2.09       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    15.09%     |
| 4096  |  64   | N/A |  1   |    [[4096, 64]]    | bf16  |       2.24       |       2.27        |       2.32       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    27.09%     |
| 8192  |  64   | N/A |  1   |    [[8192, 64]]    | bf16  |       2.5        |       2.54        |       2.58       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    48.55%     |
| 16384 |  64   | N/A |  1   |   [[16384, 64]]    | bf16  |       3.05       |       3.09        |       3.12       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    79.58%     |
| 32768 |  64   | N/A |  1   |   [[32768, 64]]    | bf16  |       4.15       |       4.18        |       4.2        |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    116.98%    |
|   1   |  128  | N/A |  1   |     [[1, 128]]     | bf16  |       1.74       |       1.76        |       1.78       |        2.0         | 0.00e+00 | 1.28e+02 |        0%        |     0.02%     |
|   2   |  128  | N/A |  1   |     [[2, 128]]     | bf16  |       1.71       |       1.74        |       1.78       |        2.0         | 0.00e+00 | 2.56e+02 |        0%        |     0.03%     |
|   4   |  128  | N/A |  1   |     [[4, 128]]     | bf16  |       1.68       |       1.74        |       1.8        |        2.0         | 0.00e+00 | 5.12e+02 |        0%        |     0.07%     |
|   8   |  128  | N/A |  1   |     [[8, 128]]     | bf16  |       1.69       |       1.72        |       1.76       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.14%     |
|  16   |  128  | N/A |  1   |    [[16, 128]]     | bf16  |       1.71       |       1.76        |       1.82       |        2.01        | 0.00e+00 | 2.05e+03 |        0%        |     0.28%     |
|  32   |  128  | N/A |  1   |    [[32, 128]]     | bf16  |       1.7        |       1.73        |       1.77       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.56%     |
|  64   |  128  | N/A |  1   |    [[64, 128]]     | bf16  |       1.72       |       1.76        |       1.79       |        2.02        | 0.00e+00 | 8.19e+03 |        0%        |     1.1%      |
|  128  |  128  | N/A |  1   |    [[128, 128]]    | bf16  |       1.74       |       1.76        |       1.8        |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.18%     |
|  256  |  128  | N/A |  1   |    [[256, 128]]    | bf16  |       1.78       |       1.83        |       1.88       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     4.26%     |
|  512  |  128  | N/A |  1   |    [[512, 128]]    | bf16  |       1.91       |       1.94        |       1.96       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |     7.94%     |
| 1024  |  128  | N/A |  1   |   [[1024, 128]]    | bf16  |       2.03       |       2.05        |       2.08       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    14.95%     |
| 2048  |  128  | N/A |  1   |   [[2048, 128]]    | bf16  |       2.23       |       2.29        |       2.36       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    27.21%     |
| 4096  |  128  | N/A |  1   |   [[4096, 128]]    | bf16  |       2.51       |       2.58        |       2.64       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    48.35%     |
| 8192  |  128  | N/A |  1   |   [[8192, 128]]    | bf16  |       3.07       |       3.11        |       3.15       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    79.06%     |
| 16384 |  128  | N/A |  1   |   [[16384, 128]]   | bf16  |       4.15       |       4.18        |       4.2        |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    116.98%    |
| 32768 |  128  | N/A |  1   |   [[32768, 128]]   | bf16  |       6.34       |       6.37        |       6.4        |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |    153.14%    |
|   1   |  512  | N/A |  1   |     [[1, 512]]     | bf16  |       1.67       |        1.7        |       1.73       |        2.0         | 0.00e+00 | 5.12e+02 |        0%        |     0.07%     |
|   2   |  512  | N/A |  1   |     [[2, 512]]     | bf16  |       1.68       |       1.72        |       1.77       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.14%     |
|   4   |  512  | N/A |  1   |     [[4, 512]]     | bf16  |       1.69       |       1.71        |       1.74       |        2.01        | 0.00e+00 | 2.05e+03 |        0%        |     0.28%     |
|   8   |  512  | N/A |  1   |     [[8, 512]]     | bf16  |       1.73       |       1.74        |       1.76       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.55%     |
|  16   |  512  | N/A |  1   |    [[16, 512]]     | bf16  |       1.75       |       1.77        |       1.79       |        2.02        | 0.00e+00 | 8.19e+03 |        0%        |     1.08%     |
|  32   |  512  | N/A |  1   |    [[32, 512]]     | bf16  |       1.72       |       1.76        |       1.79       |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.2%      |
|  64   |  512  | N/A |  1   |    [[64, 512]]     | bf16  |       1.79       |       1.82        |       1.85       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     4.24%     |
|  128  |  512  | N/A |  1   |    [[128, 512]]    | bf16  |       1.89       |       1.93        |       1.96       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |     8.03%     |
|  256  |  512  | N/A |  1   |    [[256, 512]]    | bf16  |       2.05       |       2.07        |       2.09       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |     14.8%     |
|  512  |  512  | N/A |  1   |    [[512, 512]]    | bf16  |       2.74       |       2.77        |       2.79       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    22.15%     |
| 1024  |  512  | N/A |  1   |   [[1024, 512]]    | bf16  |       2.53       |       2.57        |       2.6        |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    47.97%     |
| 2048  |  512  | N/A |  1   |   [[2048, 512]]    | bf16  |       3.05       |       3.08        |       3.11       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    79.58%     |
| 4096  |  512  | N/A |  1   |   [[4096, 512]]    | bf16  |       4.14       |       4.18        |       4.23       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    117.26%    |
| 8192  |  512  | N/A |  1   |   [[8192, 512]]    | bf16  |       6.34       |       6.37        |       6.41       |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |    153.14%    |
| 16384 |  512  | N/A |  1   |   [[16384, 512]]   | bf16  |      10.66       |       10.7        |      10.74       |       26.27        | 0.00e+00 | 8.39e+06 |        0%        |    182.16%    |
| 32768 |  512  | N/A |  1   |   [[32768, 512]]   | bf16  |      19.35       |       19.39       |      19.43       |       50.55        | 0.00e+00 | 1.68e+07 |        0%        |    200.7%     |
|   1   |  768  | N/A |  1   |     [[1, 768]]     | bf16  |       1.78       |        1.8        |       1.81       |        2.0         | 0.00e+00 | 7.68e+02 |        0%        |     0.1%      |
|   2   |  768  | N/A |  1   |     [[2, 768]]     | bf16  |       1.69       |       1.78        |       1.9        |        2.0         | 0.00e+00 | 1.54e+03 |        0%        |     0.21%     |
|   4   |  768  | N/A |  1   |     [[4, 768]]     | bf16  |       1.73       |       1.76        |       1.79       |        2.01        | 0.00e+00 | 3.07e+03 |        0%        |     0.41%     |
|   8   |  768  | N/A |  1   |     [[8, 768]]     | bf16  |       1.74       |       1.79        |       1.86       |        2.02        | 0.00e+00 | 6.14e+03 |        0%        |     0.82%     |
|  16   |  768  | N/A |  1   |    [[16, 768]]     | bf16  |       1.71       |       1.74        |       1.77       |        2.04        | 0.00e+00 | 1.23e+04 |        0%        |     1.66%     |
|  32   |  768  | N/A |  1   |    [[32, 768]]     | bf16  |       1.77       |        1.8        |       1.83       |        2.07        | 0.00e+00 | 2.46e+04 |        0%        |     3.21%     |
|  64   |  768  | N/A |  1   |    [[64, 768]]     | bf16  |       1.84       |       1.88        |       1.93       |        2.14        | 0.00e+00 | 4.92e+04 |        0%        |     6.18%     |
|  128  |  768  | N/A |  1   |    [[128, 768]]    | bf16  |       1.93       |       1.98        |       2.05       |        2.28        | 0.00e+00 | 9.83e+04 |        0%        |    11.79%     |
|  256  |  768  | N/A |  1   |    [[256, 768]]    | bf16  |       2.15       |       2.17        |       2.19       |        2.57        | 0.00e+00 | 1.97e+05 |        0%        |    21.17%     |
|  512  |  768  | N/A |  1   |    [[512, 768]]    | bf16  |       2.37       |       2.42        |       2.47       |        3.14        | 0.00e+00 | 3.93e+05 |        0%        |    38.41%     |
| 1024  |  768  | N/A |  1   |   [[1024, 768]]    | bf16  |       2.8        |       2.82        |       2.84       |        4.28        | 0.00e+00 | 7.86e+05 |        0%        |    65.02%     |
| 2048  |  768  | N/A |  1   |   [[2048, 768]]    | bf16  |       3.6        |       3.63        |       3.65       |        6.55        | 0.00e+00 | 1.57e+06 |        0%        |    101.14%    |
| 4096  |  768  | N/A |  1   |   [[4096, 768]]    | bf16  |       5.25       |       5.33        |       5.43       |        11.1        | 0.00e+00 | 3.15e+06 |        0%        |    138.7%     |
| 8192  |  768  | N/A |  1   |   [[8192, 768]]    | bf16  |       8.5        |       8.53        |       8.56       |        20.2        | 0.00e+00 | 6.29e+06 |        0%        |    171.34%    |
| 16384 |  768  | N/A |  1   |   [[16384, 768]]   | bf16  |      15.01       |       15.04       |      15.07       |       38.41        | 0.00e+00 | 1.26e+07 |        0%        |    194.05%    |
| 32768 |  768  | N/A |  1   |   [[32768, 768]]   | bf16  |      27.98       |       28.04       |      28.11       |       74.82        | 0.00e+00 | 2.52e+07 |        0%        |    208.2%     |
|   1   | 2048  | N/A |  1   |    [[1, 2048]]     | bf16  |       1.72       |       1.75        |       1.78       |        2.01        | 0.00e+00 | 2.05e+03 |        0%        |     0.28%     |
|   2   | 2048  | N/A |  1   |    [[2, 2048]]     | bf16  |       1.69       |       1.73        |       1.76       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.56%     |
|   4   | 2048  | N/A |  1   |    [[4, 2048]]     | bf16  |       1.73       |       1.76        |       1.79       |        2.02        | 0.00e+00 | 8.19e+03 |        0%        |     1.1%      |
|   8   | 2048  | N/A |  1   |    [[8, 2048]]     | bf16  |       1.73       |       1.75        |       1.77       |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.19%     |
|  16   | 2048  | N/A |  1   |    [[16, 2048]]    | bf16  |       1.78       |       1.82        |       1.87       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     4.26%     |
|  32   | 2048  | N/A |  1   |    [[32, 2048]]    | bf16  |       1.89       |       1.91        |       1.94       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |     8.03%     |
|  64   | 2048  | N/A |  1   |    [[64, 2048]]    | bf16  |       2.02       |       2.04        |       2.06       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    15.02%     |
|  128  | 2048  | N/A |  1   |   [[128, 2048]]    | bf16  |       2.26       |       2.29        |       2.32       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    26.85%     |
|  256  | 2048  | N/A |  1   |   [[256, 2048]]    | bf16  |       2.52       |       2.56        |       2.6        |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    48.16%     |
|  512  | 2048  | N/A |  1   |   [[512, 2048]]    | bf16  |       3.05       |       3.09        |       3.12       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    79.58%     |
| 1024  | 2048  | N/A |  1   |   [[1024, 2048]]   | bf16  |       4.13       |       4.17        |       4.21       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    117.54%    |
| 2048  | 2048  | N/A |  1   |   [[2048, 2048]]   | bf16  |       6.32       |       6.35        |       6.37       |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |    153.62%    |
| 4096  | 2048  | N/A |  1   |   [[4096, 2048]]   | bf16  |      10.64       |       10.69       |      10.73       |       26.27        | 0.00e+00 | 8.39e+06 |        0%        |    182.5%     |
| 8192  | 2048  | N/A |  1   |   [[8192, 2048]]   | bf16  |      19.33       |       19.37       |      19.41       |       50.55        | 0.00e+00 | 1.68e+07 |        0%        |    200.91%    |
| 16384 | 2048  | N/A |  1   |  [[16384, 2048]]   | bf16  |      36.69       |       36.75       |      36.83       |       99.09        | 0.00e+00 | 3.36e+07 |        0%        |    211.7%     |
| 32768 | 2048  | N/A |  1   |  [[32768, 2048]]   | bf16  |      184.89      |      186.17       |      186.99      |       196.18       | 0.00e+00 | 6.71e+07 |        0%        |    84.02%     |
|   1   | 3072  | N/A |  1   |    [[1, 3072]]     | bf16  |       1.69       |       1.73        |       1.76       |        2.01        | 0.00e+00 | 3.07e+03 |        0%        |     0.42%     |
|   2   | 3072  | N/A |  1   |    [[2, 3072]]     | bf16  |       1.72       |       1.76        |       1.8        |        2.02        | 0.00e+00 | 6.14e+03 |        0%        |     0.83%     |
|   4   | 3072  | N/A |  1   |    [[4, 3072]]     | bf16  |       1.75       |       1.81        |       1.88       |        2.04        | 0.00e+00 | 1.23e+04 |        0%        |     1.63%     |
|   8   | 3072  | N/A |  1   |    [[8, 3072]]     | bf16  |       1.79       |       1.82        |       1.85       |        2.07        | 0.00e+00 | 2.46e+04 |        0%        |     3.18%     |
|  16   | 3072  | N/A |  1   |    [[16, 3072]]    | bf16  |       1.85       |       1.87        |       1.89       |        2.14        | 0.00e+00 | 4.92e+04 |        0%        |     6.15%     |
|  32   | 3072  | N/A |  1   |    [[32, 3072]]    | bf16  |       1.91       |       1.94        |       1.98       |        2.28        | 0.00e+00 | 9.83e+04 |        0%        |    11.91%     |
|  64   | 3072  | N/A |  1   |    [[64, 3072]]    | bf16  |       2.15       |       2.19        |       2.24       |        2.57        | 0.00e+00 | 1.97e+05 |        0%        |    21.17%     |
|  128  | 3072  | N/A |  1   |   [[128, 3072]]    | bf16  |       2.38       |        2.4        |       2.43       |        3.14        | 0.00e+00 | 3.93e+05 |        0%        |    38.24%     |
|  256  | 3072  | N/A |  1   |   [[256, 3072]]    | bf16  |       2.78       |       2.81        |       2.85       |        4.28        | 0.00e+00 | 7.86e+05 |        0%        |    65.48%     |
|  512  | 3072  | N/A |  1   |   [[512, 3072]]    | bf16  |       3.6        |       3.63        |       3.66       |        6.55        | 0.00e+00 | 1.57e+06 |        0%        |    101.14%    |
| 1024  | 3072  | N/A |  1   |   [[1024, 3072]]   | bf16  |       5.27       |       5.29        |       5.31       |        11.1        | 0.00e+00 | 3.15e+06 |        0%        |    138.17%    |
| 2048  | 3072  | N/A |  1   |   [[2048, 3072]]   | bf16  |       8.47       |       8.53        |       8.59       |        20.2        | 0.00e+00 | 6.29e+06 |        0%        |    171.94%    |
| 4096  | 3072  | N/A |  1   |   [[4096, 3072]]   | bf16  |       15.0       |       15.04       |      15.08       |       38.41        | 0.00e+00 | 1.26e+07 |        0%        |    194.18%    |
| 8192  | 3072  | N/A |  1   |   [[8192, 3072]]   | bf16  |      28.01       |       28.04       |      28.07       |       74.82        | 0.00e+00 | 2.52e+07 |        0%        |    207.98%    |
| 16384 | 3072  | N/A |  1   |  [[16384, 3072]]   | bf16  |      138.71      |      140.05       |      140.88      |       147.64       | 0.00e+00 | 5.03e+07 |        0%        |    83.99%     |
| 32768 | 3072  | N/A |  1   |  [[32768, 3072]]   | bf16  |      277.79      |      279.17       |      280.08      |       293.27       | 0.00e+00 | 1.01e+08 |        0%        |    83.88%     |
|   1   | 4096  | N/A |  1   |    [[1, 4096]]     | bf16  |       1.68       |       1.74        |       1.79       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.56%     |
|   2   | 4096  | N/A |  1   |    [[2, 4096]]     | bf16  |       1.72       |       1.76        |       1.8        |        2.02        | 0.00e+00 | 8.19e+03 |        0%        |     1.1%      |
|   4   | 4096  | N/A |  1   |    [[4, 4096]]     | bf16  |       1.72       |       1.74        |       1.76       |        2.05        | 0.00e+00 | 1.64e+04 |        0%        |     2.2%      |
|   8   | 4096  | N/A |  1   |    [[8, 4096]]     | bf16  |       1.81       |       1.83        |       1.85       |        2.09        | 0.00e+00 | 3.28e+04 |        0%        |     4.19%     |
|  16   | 4096  | N/A |  1   |    [[16, 4096]]    | bf16  |       1.87       |       1.91        |       1.94       |        2.19        | 0.00e+00 | 6.55e+04 |        0%        |     8.11%     |
|  32   | 4096  | N/A |  1   |    [[32, 4096]]    | bf16  |       2.02       |       2.04        |       2.07       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    15.02%     |
|  64   | 4096  | N/A |  1   |    [[64, 4096]]    | bf16  |       2.23       |       2.26        |       2.3        |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    27.21%     |
|  128  | 4096  | N/A |  1   |   [[128, 4096]]    | bf16  |       2.49       |       2.52        |       2.54       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    48.74%     |
|  256  | 4096  | N/A |  1   |   [[256, 4096]]    | bf16  |       3.06       |       3.09        |       3.12       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    79.32%     |
|  512  | 4096  | N/A |  1   |   [[512, 4096]]    | bf16  |       4.16       |       4.18        |       4.21       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    116.7%     |
| 1024  | 4096  | N/A |  1   |   [[1024, 4096]]   | bf16  |       6.32       |       6.36        |       6.4        |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |    153.62%    |
| 2048  | 4096  | N/A |  1   |   [[2048, 4096]]   | bf16  |      10.67       |       10.7        |      10.74       |       26.27        | 0.00e+00 | 8.39e+06 |        0%        |    181.99%    |
| 4096  | 4096  | N/A |  1   |   [[4096, 4096]]   | bf16  |      19.34       |       19.39       |      19.45       |       50.55        | 0.00e+00 | 1.68e+07 |        0%        |    200.81%    |
| 8192  | 4096  | N/A |  1   |   [[8192, 4096]]   | bf16  |       36.7       |       36.73       |      36.76       |       99.09        | 0.00e+00 | 3.36e+07 |        0%        |    211.64%    |
| 16384 | 4096  | N/A |  1   |  [[16384, 4096]]   | bf16  |      184.95      |      186.22       |      187.04      |       196.18       | 0.00e+00 | 6.71e+07 |        0%        |    83.99%     |
| 32768 | 4096  | N/A |  1   |  [[32768, 4096]]   | bf16  |      370.72      |      372.18       |      373.17      |       390.36       | 0.00e+00 | 1.34e+08 |        0%        |    83.81%     |
|   1   | 5120  | N/A |  1   |    [[1, 5120]]     | bf16  |       1.74       |       1.79        |       1.86       |        2.01        | 0.00e+00 | 5.12e+03 |        0%        |     0.68%     |
|   2   | 5120  | N/A |  1   |    [[2, 5120]]     | bf16  |       1.73       |       1.75        |       1.78       |        2.03        | 0.00e+00 | 1.02e+04 |        0%        |     1.37%     |
|   4   | 5120  | N/A |  1   |    [[4, 5120]]     | bf16  |       1.78       |        1.8        |       1.83       |        2.06        | 0.00e+00 | 2.05e+04 |        0%        |     2.66%     |
|   8   | 5120  | N/A |  1   |    [[8, 5120]]     | bf16  |       1.83       |       1.86        |       1.89       |        2.12        | 0.00e+00 | 4.10e+04 |        0%        |     5.18%     |
|  16   | 5120  | N/A |  1   |    [[16, 5120]]    | bf16  |       1.91       |       1.93        |       1.95       |        2.24        | 0.00e+00 | 8.19e+04 |        0%        |     9.93%     |
|  32   | 5120  | N/A |  1   |    [[32, 5120]]    | bf16  |       2.09       |       2.13        |       2.19       |        2.47        | 0.00e+00 | 1.64e+05 |        0%        |    18.15%     |
|  64   | 5120  | N/A |  1   |    [[64, 5120]]    | bf16  |       2.31       |       2.34        |       2.38       |        2.95        | 0.00e+00 | 3.28e+05 |        0%        |    32.84%     |
|  128  | 5120  | N/A |  1   |   [[128, 5120]]    | bf16  |       2.65       |       2.68        |       2.71       |        3.9         | 0.00e+00 | 6.55e+05 |        0%        |    57.25%     |
|  256  | 5120  | N/A |  1   |   [[256, 5120]]    | bf16  |       3.32       |       3.36        |       3.42       |        5.79        | 0.00e+00 | 1.31e+06 |        0%        |    91.39%     |
|  512  | 5120  | N/A |  1   |   [[512, 5120]]    | bf16  |       4.71       |       4.76        |       4.81       |        9.59        | 0.00e+00 | 2.62e+06 |        0%        |    128.84%    |
| 1024  | 5120  | N/A |  1   |   [[1024, 5120]]   | bf16  |       7.4        |       7.42        |       7.43       |       17.17        | 0.00e+00 | 5.24e+06 |        0%        |    164.0%     |
| 2048  | 5120  | N/A |  1   |   [[2048, 5120]]   | bf16  |      12.83       |       12.87       |      12.92       |       32.34        | 0.00e+00 | 1.05e+07 |        0%        |    189.19%    |
| 4096  | 5120  | N/A |  1   |   [[4096, 5120]]   | bf16  |      23.65       |       23.7        |      23.75       |       62.68        | 0.00e+00 | 2.10e+07 |        0%        |    205.27%    |
| 8192  | 5120  | N/A |  1   |   [[8192, 5120]]   | bf16  |      115.63      |      116.96       |      117.79      |       123.36       | 0.00e+00 | 4.19e+07 |        0%        |    83.97%     |
| 16384 | 5120  | N/A |  1   |  [[16384, 5120]]   | bf16  |      231.94      |      233.14       |      233.91      |       244.73       | 0.00e+00 | 8.39e+07 |        0%        |    83.72%     |
| 32768 | 5120  | N/A |  1   |  [[32768, 5120]]   | bf16  |      463.28      |      464.92       |      466.1       |       487.45       | 0.00e+00 | 1.68e+08 |        0%        |    83.83%     |
|   1   | 6144  | N/A |  1   |    [[1, 6144]]     | bf16  |       1.71       |       1.75        |       1.79       |        2.02        | 0.00e+00 | 6.14e+03 |        0%        |     0.83%     |
|   2   | 6144  | N/A |  1   |    [[2, 6144]]     | bf16  |       1.73       |       1.76        |       1.78       |        2.04        | 0.00e+00 | 1.23e+04 |        0%        |     1.64%     |
|   4   | 6144  | N/A |  1   |    [[4, 6144]]     | bf16  |       1.78       |        1.8        |       1.81       |        2.07        | 0.00e+00 | 2.46e+04 |        0%        |     3.2%      |
|   8   | 6144  | N/A |  1   |    [[8, 6144]]     | bf16  |       1.82       |       1.84        |       1.86       |        2.14        | 0.00e+00 | 4.92e+04 |        0%        |     6.25%     |
|  16   | 6144  | N/A |  1   |    [[16, 6144]]    | bf16  |       1.93       |       1.97        |       2.01       |        2.28        | 0.00e+00 | 9.83e+04 |        0%        |    11.79%     |
|  32   | 6144  | N/A |  1   |    [[32, 6144]]    | bf16  |       2.15       |       2.16        |       2.18       |        2.57        | 0.00e+00 | 1.97e+05 |        0%        |    21.17%     |
|  64   | 6144  | N/A |  1   |    [[64, 6144]]    | bf16  |       2.41       |       2.44        |       2.47       |        3.14        | 0.00e+00 | 3.93e+05 |        0%        |    37.77%     |
|  128  | 6144  | N/A |  1   |   [[128, 6144]]    | bf16  |       2.78       |       2.82        |       2.85       |        4.28        | 0.00e+00 | 7.86e+05 |        0%        |    65.48%     |
|  256  | 6144  | N/A |  1   |   [[256, 6144]]    | bf16  |       3.62       |       3.65        |       3.69       |        6.55        | 0.00e+00 | 1.57e+06 |        0%        |    100.58%    |
